Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Waste Connections Inc,0.87,0.87,0.06,1.00,0.87,0.0845,0.0957,0.3273,0.0315,0.8700,0.6290,0.3710,1.6955,-6.00,0.63,6.13,0.13,#DIV/0!,7.05,0.33,-30.16,"519,230.997",17.1x,27.2x,NA,2.5x,5.4x,41.8x,3.5x,,5.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Waste Connections Inc,0.95,0.95,0.04,1.40,0.95,0.0955,0.1014,0.3809,0.0387,1.1200,0.5956,0.4044,1.4725,-5.36,0.85,4.61,0.16,#DIV/0!,8.24,0.38,-116.80,"694,764.318",15.6x,24.9x,29.0x,2.5x,5.3x,41.6x,4.0x,,6.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Waste Connections Inc,1.02,1.02,0.04,1.51,1.02,0.1041,0.1118,0.3964,0.0445,1.4500,0.5741,0.4259,1.3482,-6.96,0.92,4.20,0.18,#DIV/0!,8.00,0.40,356.45,"831,268.436",15.2x,23.8x,26.8x,2.5x,5.3x,38.5x,4.0x,,6.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Waste Connections Inc,0.96,0.96,0.03,1.53,0.96,-0.0481,-0.0452,0.4134,-0.0185,-0.7200,0.6111,0.3889,1.5715,0.98,0.39,4.41,0.18,#DIV/0!,8.30,0.41,-133.61,"984,168.701",19.8x,31.9x,31.2x,3.1x,6.6x,-123.8x,6.0x,,6.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Waste Connections Inc,1.07,1.07,0.22,1.15,1.07,0.0436,0.0730,0.3040,0.0223,1.4400,0.4907,0.5093,0.9636,-4.86,0.21,5.27,0.15,#DIV/0!,6.96,0.30,65.92,"1,389,711.274",18.3x,33.2x,36.9x,1.9x,5.6x,62.8x,2.7x,0.6446,5.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Waste Connections Inc,1.47,1.47,0.54,1.48,1.47,0.0919,0.1246,0.3854,0.0481,2.7500,0.4778,0.5222,0.9150,-5.23,1.33,4.16,0.21,#DIV/0!,8.35,0.39,12.37,"1,735,716.744",16.2x,29.9x,25.4x,2.2x,4.8x,32.8x,3.0x,0.704,6.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Waste Connections Inc,1.23,1.23,0.36,1.59,1.23,0.0847,0.1111,0.3899,0.0433,2.8300,0.4884,0.5116,0.9546,-6.66,1.29,3.97,0.23,#DIV/0!,8.08,0.39,23.89,"2,120,388.597",17.5x,31.2x,30.4x,2.2x,5.5x,42.7x,3.6x,0.8736,6.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Waste Connections Inc,1.12,1.12,0.32,1.53,1.12,0.0817,0.1052,0.3923,0.0413,2.7900,0.4949,0.5051,0.9800,-6.13,0.96,4.24,0.23,#DIV/0!,8.13,0.39,43.68,"2,084,251.746",15.4x,28.7x,30.0x,2.5x,4.6x,36.1x,2.9x,0.9609,6.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Waste Connections Inc,1.37,1.33,0.60,1.37,1.37,0.0298,0.0376,0.3892,0.0146,0.9900,0.5095,0.4905,1.0387,-2.62,0.83,4.46,0.20,89.22,8.64,0.39,14.35,"2,032,760.933",20.5x,38.7x,32.4x,2.7x,6.0x,138.4x,4.1x,1.0434,6.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Waste Connections Inc,0.84,0.80,0.12,1.38,0.84,0.0884,0.1005,0.4185,0.0421,2.9900,0.5242,0.4758,1.1019,-5.82,0.83,4.05,0.22,82.56,8.67,0.42,-30.76,"2,406,204.588",21.6x,37.8x,45.7x,3.4x,6.7x,58.3x,5.2x,1.1634,6.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
