Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,WSP Global Inc,1.52,1.52,0.24,0.22,1.52,0.0736,0.0356,1.0839,0.0377,1.3800,0.4765,0.5235,0.9103,-14.60,1.66,5.88,0.13,#DIV/0!,3.35,1.08,7.12,"150,700",12.6x,19.7x,12.1x,1.5x,0.9x,21.5x,1.7x,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,WSP Global Inc,1.27,1.27,0.12,0.14,1.27,0.0292,0.0216,0.5907,0.0127,0.9800,0.5627,0.4373,1.2866,-8.06,9.06,12.51,0.08,#DIV/0!,1.81,0.59,6.73,"221,000",17.8x,24.5x,60.4x,2.1x,1.5x,34.9x,2.4x,1.5586,5.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,WSP Global Inc,1.26,1.26,0.10,0.10,1.26,0.0648,0.0311,0.9833,0.0306,2.0500,0.5279,0.4721,1.1180,-8.61,1.82,7.87,0.06,#DIV/0!,2.95,0.98,11.23,"413,400",12.5x,17.9x,-53.9x,1.3x,0.8x,25.3x,1.5x,1.125,6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,WSP Global Inc,1.30,1.30,0.12,0.20,1.30,0.0696,0.0312,1.0409,0.0324,1.9700,0.5333,0.4667,1.1425,-9.36,11.28,6.96,0.12,#DIV/0!,3.23,1.04,11.03,"469,800",11.8x,17.1x,22.6x,1.4x,0.9x,28.7x,1.6x,1.5,6.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,WSP Global Inc,1.18,1.18,0.08,0.18,1.18,0.0721,0.0307,1.0642,0.0327,2.0800,0.5464,0.4536,1.2047,-9.74,7.72,6.97,0.11,#DIV/0!,3.14,1.06,16.72,"511,700",13.9x,19.3x,27.7x,1.8x,1.1x,25.9x,2.1x,1.5,5.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,WSP Global Inc,1.28,1.28,0.10,0.26,1.28,0.0761,0.0314,1.0182,0.0320,2.3800,0.5803,0.4197,1.3826,-7.28,12.78,7.27,0.15,#DIV/0!,2.96,1.02,10.85,"620,300",11.8x,16.4x,12.4x,1.7x,0.9x,26.1x,2.0x,1.5,6.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,WSP Global Inc,1.07,1.07,0.08,0.27,1.07,0.0860,0.0321,1.0277,0.0329,2.7200,0.6160,0.3840,1.6039,-4.15,1.70,7.35,0.15,#DIV/0!,3.51,1.03,40.42,"726,700",16.7x,22.0x,30.6x,2.0x,1.3x,32.5x,2.9x,1.5,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,WSP Global Inc,1.03,1.03,0.14,0.35,1.03,0.0676,0.0313,0.9962,0.0314,2.5100,0.5382,0.4618,1.1653,-5.35,0.90,6.51,0.24,#DIV/0!,3.89,1.00,79.31,"730,400",20.3x,27.4x,18.2x,2.5x,1.7x,55.3x,3.4x,1.5,5.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,WSP Global Inc,1.14,1.14,0.24,0.28,1.14,0.1015,0.0461,0.9137,0.0421,4.0700,0.5853,0.4147,1.4116,-9.25,0.91,6.86,0.16,#DIV/0!,3.71,0.91,18.71,"959,500",27.3x,35.3x,48.0x,3.2x,2.5x,52.0x,4.7x,1.5,5.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,WSP Global Inc,1.09,1.09,0.11,0.18,1.09,0.0719,0.0362,0.8040,0.0293,3.5900,0.5951,0.4049,1.4699,-6.17,0.47,7.81,0.09,#DIV/0!,3.09,0.80,28.48,"1,130,500",23.0x,28.7x,46.6x,2.6x,2.2x,51.8x,3.7x,1.5,5.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
