Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Killam Properties Inc,0.21,0.21,0.14,0.20,0.21,0.0659,0.2771,0.0937,0.0267,0.7300,0.6058,0.3942,1.5369,-2.39,0.27,11.97,0.04,101.88,163.30,0.09,-0.95,"77,528",18.6x,18.7x,18.9x,1.0x,10.0x,10.4x,0.9x,0.3383,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Killam Properties Inc,0.18,0.18,0.11,0.29,0.18,0.0449,0.1990,0.0843,0.0184,0.5400,0.6267,0.3733,1.6789,-2.21,0.27,14.24,0.05,452.56,175.63,0.08,-1.03,"78,141",19.4x,19.5x,34.2x,1.0x,10.2x,17.8x,1.0x,0.6,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Killam Properties Inc,0.14,0.14,0.08,0.27,0.14,0.0504,0.2056,0.0896,0.0191,0.5600,0.6347,0.3653,1.7378,-2.06,0.32,13.29,0.04,"2,200.77",194.57,0.09,-1.05,"89,641",19.5x,19.7x,49.4x,1.0x,10.3x,36.9x,1.0x,0.6,3.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Killam Properties Inc,0.25,0.25,0.16,0.40,0.25,0.0906,0.3852,0.0888,0.0359,1.0000,0.6225,0.3775,1.6489,-2.15,0.27,13.08,0.05,705.51,174.06,0.09,-1.48,"94,640",19.5x,19.7x,33.6x,1.0x,10.4x,11.4x,1.1x,0.6,4.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Killam Properties Inc,0.12,0.12,0.06,0.38,0.12,0.1082,0.5564,0.0814,0.0453,1.3500,0.5813,0.4187,1.3883,-4.48,0.43,13.07,0.06,728.86,251.64,0.08,-0.98,"102,811",22.6x,22.8x,34.2x,1.1x,12.3x,16.0x,1.4x,0.62,4.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Killam Properties Inc,0.05,0.05,0.01,0.23,0.05,0.1498,0.8074,0.0768,0.0620,2.0100,0.5861,0.4139,1.4162,-5.87,0.54,13.58,0.05,290.75,217.80,0.08,-0.58,"121,923",23.5x,23.7x,38.0x,1.1x,13.0x,8.1x,1.3x,0.64,3.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Killam Properties Inc,0.15,0.15,0.04,0.27,0.15,0.1769,1.1659,0.0720,0.0839,2.9600,0.5259,0.4741,1.1094,-7.89,0.34,12.99,0.05,"7,485.67",185.51,0.07,-0.82,"136,901",24.9x,25.1x,92.2x,1.2x,14.1x,9.2x,1.4x,0.66,4.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Killam Properties Inc,0.09,0.09,0.01,0.40,0.09,0.0826,0.5566,0.0695,0.0387,1.4100,0.5318,0.4682,1.1358,-4.22,0.43,13.33,0.06,"10,870.67",332.06,0.07,-0.93,"150,618",22.5x,22.6x,42.0x,1.0x,12.9x,7.9x,1.1x,0.68,4.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Killam Properties Inc,0.06,0.06,0.01,0.31,0.06,0.1352,0.9779,0.0638,0.0624,2.5800,0.5388,0.4612,1.1684,-7.35,0.65,14.82,0.06,507.93,360.91,0.06,-0.69,"166,437",28.0x,28.1x,61.5x,1.1x,16.1x,10.0x,1.3x,0.7,4.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Killam Properties Inc,0.06,0.05,0.01,0.20,0.06,0.0539,0.3705,0.0680,0.0252,1.0500,0.5322,0.4678,1.1376,-3.30,0.43,13.35,0.05,26.52,226.93,0.07,-0.56,"193,790",21.7x,21.8x,59.4x,0.9x,12.6x,9.1x,0.9x,0.7,4.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
