Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Boardwalk REIT,0.28,0.28,0.24,0.31,0.28,0.1024,0.7446,0.0765,0.0570,6.7900,0.4432,0.5568,0.7959,-4.67,1.16,10.76,0.06,47.25,94.12,0.08,-1.14,"243,977",21.5x,21.9x,22.0x,0.9x,11.7x,7.7x,0.9x,1.155,6.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Boardwalk REIT,0.27,0.26,0.22,0.28,0.27,0.0735,0.5215,0.0792,0.0413,4.9300,0.4377,0.5623,0.7783,-3.56,1.25,10.44,0.07,50.54,67.92,0.08,-1.03,"250,253",21.3x,21.7x,22.0x,0.9x,11.2x,13.3x,0.9x,2.04,6.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Boardwalk REIT,0.62,0.61,0.55,0.40,0.62,0.0090,0.0606,0.0816,0.0049,0.6100,0.4496,0.5504,0.8170,-1.34,0.96,10.16,0.07,45.07,96.23,0.08,-2.91,"258,145",17.7x,17.7x,18.2x,0.8x,9.3x,-22.4x,0.8x,2.21,6.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Boardwalk REIT,0.31,0.29,0.23,0.31,0.31,-0.0190,-0.1309,0.0761,-0.0100,-1.2400,0.4762,0.5238,0.9093,-0.32,0.68,12.56,0.05,25.53,83.10,0.08,-1.48,"218,684",20.5x,21.0x,21.3x,0.8x,10.7x,15.8x,0.8x,2.25,5.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Boardwalk REIT,0.31,0.27,0.20,0.29,0.31,0.0192,0.1354,0.0721,0.0098,1.2400,0.4923,0.5077,0.9697,-1.67,0.57,15.76,0.04,13.91,81.05,0.07,-1.74,"183,268",24.9x,25.6x,24.0x,0.8x,11.0x,49.3x,0.7x,2.25,5.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Boardwalk REIT,0.11,0.10,0.06,0.16,0.11,0.0618,0.4445,0.0711,0.0316,4.1700,0.4882,0.5118,0.9539,-3.40,0.62,15.81,0.04,20.73,52.92,0.07,-0.72,"188,612",24.6x,25.4x,30.4x,0.8x,10.6x,19.1x,0.6x,1,5.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Boardwalk REIT,0.14,0.12,0.08,0.35,0.14,0.0112,0.0764,0.0725,0.0055,0.7500,0.5032,0.4968,1.0129,-1.39,0.82,14.57,0.05,23.78,104.19,0.07,-1.16,"216,695",24.5x,25.5x,24.5x,0.8x,11.5x,12.0x,0.7x,1,5.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Boardwalk REIT,0.16,0.15,0.10,0.26,0.16,-0.0686,-0.4237,0.0762,-0.0323,-4.2400,0.5290,0.4710,1.1234,1.15,0.62,13.94,0.04,30.50,152.80,0.08,-1.02,"231,866",20.1x,20.9x,21.1x,0.7x,9.9x,-13.4x,0.6x,1,5.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Boardwalk REIT,0.15,0.14,0.11,0.27,0.15,0.1372,0.9484,0.0706,0.0670,9.5900,0.5116,0.4884,1.0474,-5.97,0.70,14.42,0.05,24.48,183.80,0.07,-0.92,"236,221",24.8x,25.7x,24.6x,0.9x,12.4x,20.2x,0.9x,1,5.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Boardwalk REIT,0.15,0.14,0.09,0.28,0.15,0.0817,0.5724,0.0700,0.0401,6.1700,0.5094,0.4906,1.0384,-3.95,0.48,14.28,0.04,26.55,204.53,0.07,-1.00,"252,190",24.2x,25.0x,25.3x,0.9x,12.4x,9.4x,0.8x,1.08,5.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
