Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Brookfield Business Partners LP,1.07,1.01,0.14,0.13,1.07,0.0825,0.0377,1.1615,0.0509,,0.4694,0.5306,0.8848,-8.85,1.23,8.06,0.10,50.35,4.83,1.16,49.84,"260,278.2",NA,NA,NM,NM,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Brookfield Business Partners LP,1.01,0.95,0.10,0.20,1.01,0.0436,0.0201,1.0493,0.0329,,0.5153,0.4847,1.0632,-6.82,1.79,6.60,0.14,40.09,4.52,1.05,308.13,"398,376.08",NA,NA,NM,NM,NA,NA,NA,,4.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Brookfield Business Partners LP,1.22,1.04,0.14,0.13,1.22,0.0674,0.0308,0.8845,0.0352,,0.5961,0.4039,1.4757,-5.97,0.54,11.46,0.07,13.84,3.81,0.88,12.51,"550,829.56",NA,NA,NM,NM,NA,NA,0.0x,,4.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Brookfield Business Partners LP,1.59,1.51,0.41,0.09,1.59,-0.0079,-0.0040,0.9716,-0.0247,-0.4600,0.5071,0.4929,1.0290,1.42,0.21,13.62,0.06,32.17,3.96,0.97,5.24,"409,560.1",15.0x,158.7x,12.8x,0.9x,0.6x,8.9x,1.6x,0.2238,5.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Brookfield Business Partners LP,1.13,0.94,0.19,-0.01,1.13,-0.0096,-0.0025,1.4441,0.0136,-0.6400,0.6163,0.3837,1.6062,-2.10,0.05,16.05,-0.01,20.45,6.25,1.44,30.72,"763,114.33",18.8x,62.4x,19.6x,1.0x,0.5x,185.9x,1.8x,0.2096,4.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Brookfield Business Partners LP,1.08,0.91,0.22,0.15,1.08,0.0114,0.0020,1.3606,0.0440,0.7800,0.7623,0.2377,3.2067,-3.61,0.47,8.71,0.06,21.81,7.72,1.36,48.59,"3,263,667.18",9.1x,13.1x,91.5x,0.9x,0.5x,-34.9x,1.7x,0.2275,4.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Brookfield Business Partners LP,1.16,0.84,0.18,0.20,1.16,0.0039,0.0010,0.8315,0.0084,0.4000,0.7864,0.2136,3.6821,-1.49,0.41,10.51,0.05,11.50,8.10,0.83,24.30,"5,029,051.77",9.3x,16.3x,15.1x,1.0x,0.8x,24.4x,1.9x,0.2165,4.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Brookfield Business Partners LP,1.19,0.89,0.23,0.35,1.19,-0.0080,-0.0024,0.6874,0.0106,-0.7700,0.7929,0.2071,3.8290,-1.50,0.49,10.33,0.10,9.37,7.85,0.69,15.95,"5,346,708.84",6.6x,12.5x,9.7x,0.9x,0.6x,-19.4x,2.2x,0.2121,4.3,8,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Brookfield Business Partners LP,1.11,0.78,0.19,0.12,1.11,0.0198,0.0055,0.7254,0.0335,2.2000,0.7976,0.2024,3.9399,-2.58,0.21,12.19,0.03,9.56,8.59,0.73,30.93,"5,314,819.59",6.1x,10.5x,9.8x,0.9x,0.6x,14.1x,2.1x,0.2108,4.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Brookfield Business Partners LP,1.08,0.77,0.17,0.06,1.08,0.0030,0.0010,0.6430,0.0040,0.3400,0.7937,0.2063,3.8469,-1.03,0.07,12.64,0.01,10.24,8.38,0.64,42.37,"7,606,491.1",10.3x,18.8x,24.4x,0.9x,1.0x,65.5x,2.5x,0.3385,4.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
