Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Canadian Apartment Properties REIT,0.03,0.03,0.00,0.44,0.03,0.0971,0.5611,0.0858,0.0482,2.6200,0.5040,0.4960,1.0160,-3.73,0.51,10.75,0.09,#DIV/0!,#DIV/0!,0.09,-0.83,"260,542",19.0x,19.1x,20.2x,1.0x,10.6x,6.7x,0.9x,0.6708,4.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Canadian Apartment Properties REIT,0.07,0.07,0.00,0.63,0.07,0.1066,0.6279,0.0855,0.0537,2.9100,0.4966,0.5034,0.9866,-4.13,0.48,10.99,0.10,#DIV/0!,#DIV/0!,0.09,-1.20,"267,863",20.9x,21.1x,20.8x,1.0x,10.8x,8.5x,0.9x,1.1801,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Canadian Apartment Properties REIT,0.08,0.08,0.00,0.73,0.08,0.0944,0.6475,0.0752,0.0487,2.9200,0.4847,0.5153,0.9407,-4.33,0.88,11.93,0.09,#DIV/0!,#DIV/0!,0.08,-1.44,"288,490",24.7x,25.0x,25.0x,1.0x,12.9x,11.7x,1.0x,1.22,5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Canadian Apartment Properties REIT,0.07,0.07,0.00,0.84,0.07,0.1057,0.7364,0.0756,0.0557,3.3600,0.4732,0.5268,0.8982,-4.91,0.73,11.86,0.10,#DIV/0!,#DIV/0!,0.08,-1.51,"314,928",23.7x,24.0x,25.7x,1.0x,12.8x,9.3x,1.0x,1.25,5.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Canadian Apartment Properties REIT,0.13,0.13,0.06,0.83,0.13,0.1700,1.3099,0.0695,0.0911,6.1500,0.4641,0.5359,0.8660,-8.27,0.71,12.74,0.08,#DIV/0!,#DIV/0!,0.07,-1.71,"334,615",26.2x,26.6x,27.0x,1.1x,14.1x,8.7x,1.1x,1.28,5.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Canadian Apartment Properties REIT,0.10,0.10,0.04,0.73,0.10,0.1928,1.7684,0.0635,0.1123,8.5200,0.4174,0.5826,0.7164,-11.31,1.27,12.26,0.10,#DIV/0!,#DIV/0!,0.06,-1.29,"369,170",28.9x,29.3x,31.1x,1.1x,15.1x,7.5x,1.2x,1.33,5.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Canadian Apartment Properties REIT,0.81,0.81,0.72,0.69,0.81,0.1422,1.5311,0.0560,0.0891,7.5400,0.3971,0.6029,0.6585,-10.73,0.93,12.36,0.08,#DIV/0!,#DIV/0!,0.06,-6.04,"447,750",31.9x,32.3x,31.9x,1.1x,17.9x,6.2x,1.2x,1.38,6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Canadian Apartment Properties REIT,0.19,0.19,0.14,0.56,0.19,0.0998,1.0490,0.0569,0.0582,5.4100,0.4017,0.5983,0.6713,-7.51,0.42,11.75,0.08,#DIV/0!,#DIV/0!,0.06,-1.27,"529,907",26.3x,26.6x,26.8x,1.0x,15.7x,9.2x,1.0x,1.38,5.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Canadian Apartment Properties REIT,0.14,0.14,0.07,0.56,0.14,0.1339,1.4926,0.0527,0.0808,8.0300,0.4129,0.5871,0.7032,-11.21,0.67,13.46,0.08,#DIV/0!,#DIV/0!,0.05,-1.09,"543,494",30.3x,30.8x,31.7x,1.0x,17.9x,8.5x,1.1x,1.45,5.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Canadian Apartment Properties REIT,0.25,0.25,0.05,0.62,0.25,0.0014,0.0135,0.0568,-0.0051,0.0780,0.4362,0.5638,0.7735,-0.36,0.74,12.86,0.08,#DIV/0!,#DIV/0!,0.06,-1.40,"601,559",25.0x,25.3x,35.5x,0.9x,14.9x,611.8x,0.8x,1.45,5.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
