Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Choice Properties REIT,0.51,0.51,0.17,1.64,0.51,0.1321,0.2108,0.0733,0.0155,1.3100,0.8830,0.1170,7.5444,-1.43,1.85,16.93,0.08,#DIV/0!,61.85,0.07,-3.68,"388,328.636",NA,NA,94.7x,1.0x,NA,NA,4.2x,0.0542,3.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Choice Properties REIT,0.63,0.63,0.00,1.22,0.63,0.1922,0.2923,0.0834,0.0244,2.2400,0.8732,0.1268,6.8895,-1.52,0.58,14.67,0.07,#DIV/0!,72.09,0.08,-4.80,"487,514",11.7x,11.7x,12.2x,1.0x,8.3x,6.0x,4.2x,0.65,3.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Choice Properties REIT,0.44,0.44,0.06,0.71,0.44,-0.1842,-0.2090,0.0834,-0.0174,-1.7100,0.9053,0.0947,9.5636,-0.55,1.12,15.23,0.07,#DIV/0!,119.09,0.08,-1.78,"529,407",16.5x,16.5x,14.5x,1.0x,11.7x,-9.9x,6.0x,0.65,3.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Choice Properties REIT,0.46,0.46,0.01,0.79,0.46,-0.3865,-0.2844,0.0831,-0.0236,-2.4100,0.9388,0.0612,15.3483,-0.40,0.79,15.94,0.06,#DIV/0!,52.71,0.08,-2.15,"555,869",17.7x,17.8x,20.3x,1.1x,12.5x,-2.8x,17.0x,0.71,3.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Choice Properties REIT,0.03,0.03,0.01,0.47,0.03,0.4316,0.4860,0.0839,0.0408,4.2900,0.9056,0.0944,9.5909,-2.04,0.85,14.97,0.06,#DIV/0!,38.85,0.08,-0.79,"600,147",16.6x,16.6x,17.0x,1.0x,11.9x,2.0x,6.1x,0.74,3.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Choice Properties REIT,0.13,0.13,0.04,0.56,0.13,0.1856,0.5470,0.0764,0.0418,2.3300,0.7749,0.2251,3.4427,-2.26,0.39,14.37,0.03,#DIV/0!,146.69,0.08,-1.87,"838,580",22.9x,23.0x,19.4x,1.0x,13.6x,7.9x,2.4x,0.74,3.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Choice Properties REIT,0.32,0.32,0.04,0.54,0.32,-0.1877,-0.4329,0.0862,-0.0373,-1.8700,0.8011,0.1989,4.0278,0.05,0.30,13.48,0.05,#DIV/0!,162.10,0.09,-1.84,"925,440",14.8x,14.8x,17.5x,1.1x,11.5x,-7.3x,3.4x,0.74,3.6,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Choice Properties REIT,0.59,0.59,0.31,0.93,0.59,0.1279,0.3414,0.0844,0.0288,1.3800,0.7749,0.2251,3.4420,-1.84,0.40,13.61,0.05,#DIV/0!,34.07,0.08,-4.88,"890,848",16.9x,16.9x,25.5x,1.1x,11.6x,6.8x,2.7x,0.74,3.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Choice Properties REIT,0.36,0.35,0.09,0.71,0.36,0.0070,0.0172,0.0828,0.0014,0.0700,0.7953,0.2047,3.8857,-1.04,0.59,14.01,0.05,37.35,38.10,0.08,-2.23,"918,374",18.1x,18.2x,13.8x,1.1x,12.3x,16.4x,3.1x,0.74,3.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Choice Properties REIT,0.37,0.35,0.06,0.58,0.37,0.1946,0.5569,0.0795,0.0442,2.2700,0.7726,0.2274,3.3982,-2.39,0.64,14.07,0.05,19.37,38.66,0.08,-1.94,"923,406",16.2x,16.2x,17.7x,1.0x,11.2x,4.2x,2.4x,0.74,3.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
