Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Colliers International Group Inc Bats,1.08,1.05,0.25,0.20,1.08,-0.0383,-0.0138,0.9051,0.0181,-0.7900,0.6736,0.3264,2.0640,-5.07,0.22,11.45,0.12,50.12,3.52,0.91,28.97,"90,192.239",12.6x,21.2x,15.9x,2.2x,0.9x,-109.2x,6.4x,0.1062,4.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Colliers International Group Inc Bats,1.12,1.12,0.14,0.25,1.12,0.1130,0.0274,0.9651,0.0474,0.6300,0.7662,0.2338,3.2774,-10.87,0.79,10.03,0.13,#DIV/0!,5.21,0.97,20.37,"145,096.906",18.5x,26.9x,40.8x,2.5x,1.4x,241.6x,7.9x,0.4632,4.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Colliers International Group Inc Bats,1.04,1.04,0.24,0.33,1.04,0.0808,0.0136,1.5763,0.0375,0.8300,0.7354,0.2646,2.7789,-9.02,0.22,4.59,0.20,#DIV/0!,5.41,1.58,102.27,"242,908.899",12.9x,17.1x,14.1x,3.6x,1.2x,711.9x,16.6x,0.111,4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Colliers International Group Inc Bats,0.99,0.99,0.22,0.31,0.99,0.1957,0.0358,1.5935,0.0769,2.3600,0.7082,0.2918,2.4271,-16.17,0.74,4.33,0.19,#DIV/0!,5.46,1.59,-485.72,"261,387.97",9.7x,12.7x,14.5x,2.7x,1.0x,24.0x,8.1x,0.1343,4.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Colliers International Group Inc Bats,0.92,0.92,0.15,0.29,0.92,0.1145,0.0211,1.6153,0.0624,1.6600,0.7025,0.2975,2.3613,-14.11,0.61,4.50,0.20,#DIV/0!,5.00,1.62,-40.40,"295,810.521",11.9x,15.3x,13.9x,3.6x,1.2x,37.1x,9.6x,0.1257,4.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Colliers International Group Inc Bats,0.95,0.95,0.16,0.32,0.95,0.1328,0.0346,1.1984,0.0545,3.4000,0.6881,0.3119,2.2061,-9.72,0.31,5.37,0.16,#DIV/0!,5.09,1.20,-68.24,"412,364.553",11.8x,15.9x,23.2x,2.1x,1.2x,27.9x,6.4x,0.1365,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Colliers International Group Inc Bats,0.78,0.78,0.12,0.34,0.78,0.1174,0.0338,1.0529,0.0476,3.3800,0.6970,0.3030,2.3005,-7.47,0.46,5.91,0.15,#DIV/0!,6.97,1.05,-14.77,"443,295.397",12.6x,17.5x,15.2x,2.5x,1.4x,28.8x,6.8x,0.1298,4.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Colliers International Group Inc Bats,0.93,0.93,0.14,0.15,0.93,0.0477,0.0176,0.8465,0.0287,1.5600,0.6876,0.3124,2.2010,-5.41,0.21,7.48,0.07,#DIV/0!,6.43,0.85,-38.45,"384,988.485",18.1x,29.3x,-157.8x,2.3x,1.9x,56.2x,6.7x,0.1272,4.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Colliers International Group Inc Bats,1.02,1.02,0.26,0.19,1.02,-0.3478,-0.0955,1.0556,-0.0613,-11.5000,0.7103,0.2897,2.4520,3.78,0.34,5.03,0.11,#DIV/0!,7.13,1.06,121.15,"691,102.316",16.0x,22.6x,15.1x,3.7x,2.2x,-16.4x,12.2x,0.3794,4.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Colliers International Group Inc Bats,0.90,0.90,0.13,0.05,0.90,0.0294,0.0104,0.8747,0.0382,1.4400,0.6915,0.3085,2.2417,-6.96,0.09,5.74,0.02,#DIV/0!,6.66,0.87,-34.80,"831,183.135",12.2x,17.2x,15.1x,2.0x,1.7x,97.9x,9.2x,0.4062,4.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
