Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,CT Real Estate Investment Trust,2.42,2.42,2.08,3.52,2.42,0.0172,0.2423,0.0350,0.0172,0.1700,0.5059,0.4941,1.0239,-3.00,#VALUE!,#VALUE!,0.04,#DIV/0!,181.11,0.03,3.92,,NA,NA,NM,NM,NA,NA,NA,0,NA,5,0,,,,,,,,,,,,,,,,,,,,,,,
2014,CT Real Estate Investment Trust,0.05,0.05,0.01,0.75,0.05,0.0796,0.4620,0.0858,0.0792,0.8800,0.5016,0.4984,1.0065,-4.87,2.06,#VALUE!,0.12,#DIV/0!,33.32,0.09,-1.17,,NA,NA,240.5x,1.3x,NA,NA,2.3x,0.663,4.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,CT Real Estate Investment Trust,0.12,0.12,0.10,1.08,0.12,0.0510,0.2982,0.0869,0.0539,0.6000,0.4913,0.5087,0.9657,-3.69,0.92,#VALUE!,0.12,#DIV/0!,150.61,0.09,-1.75,,NA,20.4x,19.4x,1.3x,15.3x,22.5x,2.4x,0.68,4.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,CT Real Estate Investment Trust,0.05,0.05,0.03,1.26,0.05,0.0450,0.2864,0.0812,0.0517,0.5800,0.4834,0.5166,0.9357,-4.02,3.06,#VALUE!,0.11,#DIV/0!,169.16,0.08,-1.96,,NA,23.2x,22.8x,1.4x,17.2x,26.4x,2.9x,0.7,4.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,CT Real Estate Investment Trust,0.07,0.07,0.05,1.40,0.07,0.0475,0.3064,0.0813,0.0582,0.6400,0.4755,0.5245,0.9065,-4.29,2.31,#VALUE!,0.12,#DIV/0!,225.48,0.08,-2.11,,NA,21.9x,21.7x,1.4x,16.4x,25.0x,2.7x,0.728,4.7,9,2,,,,,,,,,,,,,,,,,,,,,,,
2018,CT Real Estate Investment Trust,0.10,0.10,0.05,3.35,0.10,0.0415,0.2710,0.0828,0.0527,0.6000,0.4596,0.5404,0.8505,-3.88,2.98,#VALUE!,0.13,#DIV/0!,220.27,0.08,-5.29,,NA,19.9x,18.5x,1.2x,14.9x,18.5x,2.1x,0.7572,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,CT Real Estate Investment Trust,0.05,0.05,0.03,1.06,0.05,0.0410,0.2795,0.0812,0.0510,0.6100,0.4466,0.5534,0.8069,-3.82,3.30,#VALUE!,0.13,#DIV/0!,169.68,0.08,-1.49,,NA,22.2x,23.3x,1.4x,16.7x,27.4x,2.5x,0.7874,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,CT Real Estate Investment Trust,0.12,0.12,0.02,1.28,0.12,0.0248,0.1666,0.0813,0.0297,0.3700,0.4534,0.5466,0.8295,-2.70,3.39,#VALUE!,0.13,#DIV/0!,102.29,0.08,-1.96,,NA,21.5x,20.7x,1.3x,16.3x,32.1x,2.4x,0.8032,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,CT Real Estate Investment Trust,0.03,0.03,0.01,1.34,0.03,0.0566,0.4046,0.0792,0.0703,0.9000,0.4341,0.5659,0.7672,-5.32,1.58,#VALUE!,0.14,#DIV/0!,178.41,0.08,-1.75,,NA,22.4x,22.9x,1.4x,17.0x,25.6x,2.5x,0.8393,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,CT Real Estate Investment Trust,0.04,0.04,0.01,1.43,0.04,0.0387,0.2783,0.0778,0.0474,0.6300,0.4409,0.5591,0.7885,-3.94,1.47,#VALUE!,0.13,#DIV/0!,142.69,0.08,-1.98,,NA,21.6x,18.9x,1.3x,16.5x,25.5x,2.2x,0.8678,5,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
