Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Dream Industrial Real Estate Investment Trust,0.06,0.06,0.00,0.37,0.06,0.1471,0.5865,0.0901,0.0528,1.5300,0.6410,0.3590,1.7851,-3.06,0.29,11.10,0.05,#DIV/0!,71.67,0.09,-1.13,"91,837",NA,NA,65.7x,0.9x,NA,NA,1.1x,0.4083,3.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Dream Industrial Real Estate Investment Trust,0.11,0.11,0.00,0.33,0.11,0.1082,0.4090,0.0954,0.0390,1.1700,0.6393,0.3607,1.7721,-2.52,0.27,11.09,0.05,#DIV/0!,79.86,0.10,-1.13,"100,464",14.3x,14.3x,15.5x,0.9x,8.6x,8.9x,1.0x,0.7,3.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Dream Industrial Real Estate Investment Trust,0.10,0.10,0.01,0.30,0.10,0.0561,0.1988,0.1029,0.0204,0.6000,0.6357,0.3643,1.7452,-1.73,0.24,10.26,0.05,#DIV/0!,97.74,0.10,-1.02,"106,647",12.2x,12.2x,13.4x,0.9x,7.5x,5.7x,0.9x,0.7,3.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Dream Industrial Real Estate Investment Trust,0.18,0.18,0.06,0.53,0.18,-0.0046,-0.0154,0.1054,-0.0016,-0.0450,0.6435,0.3565,1.8050,-0.93,0.21,10.41,0.05,#DIV/0!,133.10,0.11,-1.93,"102,471",13.2x,13.2x,13.0x,0.9x,7.8x,-64.8x,1.1x,0.7,3.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Dream Industrial Real Estate Investment Trust,0.57,0.57,0.40,0.49,0.57,0.0487,0.1999,0.0959,0.0192,0.4600,0.6060,0.3940,1.5381,-1.72,0.38,10.14,0.06,#DIV/0!,157.59,0.10,-2.90,"108,073",15.1x,15.1x,18.1x,1.0x,9.0x,117.8x,1.4x,0.7,4.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Dream Industrial Real Estate Investment Trust,0.17,0.17,0.04,0.70,0.17,0.1592,0.9778,0.0746,0.0729,1.5500,0.5421,0.4579,1.1839,-3.98,0.20,11.27,0.07,#DIV/0!,167.46,0.07,-1.73,"103,968",17.2x,17.2x,15.0x,1.0x,10.9x,8.7x,1.1x,0.7,4.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Dream Industrial Real Estate Investment Trust,4.41,4.41,4.31,1.17,4.41,0.1151,0.9097,0.0682,0.0620,1.3100,0.4609,0.5391,0.8549,-4.79,0.33,10.60,0.09,#DIV/0!,86.59,0.07,0.57,"125,791",20.8x,20.8x,21.0x,1.2x,13.3x,13.3x,1.5x,0.7,5.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Dream Industrial Real Estate Investment Trust,1.49,1.49,1.41,0.74,1.49,0.1051,0.8450,0.0673,0.0568,1.3100,0.4590,0.5410,0.8486,-4.89,0.39,10.64,0.08,#DIV/0!,60.45,0.07,2.67,"151,874",19.7x,19.7x,18.4x,1.0x,12.8x,8.9x,1.2x,0.7,5.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Dream Industrial Real Estate Investment Trust,1.31,1.31,1.22,1.29,1.31,0.1738,1.8342,0.0548,0.1005,2.6000,0.4219,0.5781,0.7299,-21.47,0.36,11.02,0.07,#DIV/0!,200.77,0.05,7.92,"231,778",29.4x,29.4x,34.1x,1.2x,19.6x,8.0x,1.4x,0.7,5.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Dream Industrial Real Estate Investment Trust,0.31,0.31,0.23,0.59,0.31,0.1585,1.7270,0.0561,0.0970,2.7500,0.3884,0.6116,0.6351,-40.20,0.74,9.58,0.08,#DIV/0!,48.21,0.06,-1.61,"295,314.333",19.5x,19.5x,23.4x,0.9x,14.1x,5.4x,0.9x,0.7,5.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
