Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,First Capital Realty Inc.,0.51,0.47,0.01,0.35,0.51,0.0647,0.3353,0.0844,0.0283,1.0300,0.5625,0.4375,1.2860,-2.65,0.44,11.33,0.05,10.83,36.60,0.08,-2.12,"377,192",19.2x,19.4x,14.7x,1.0x,11.3x,15.6x,1.1x,0.42,4.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,First Capital Realty Inc.,0.71,0.70,0.04,0.55,0.71,0.0562,0.2953,0.0843,0.0251,0.9300,0.5577,0.4423,1.2609,-2.45,0.39,11.21,0.06,61.58,43.04,0.08,-4.67,"393,546",19.2x,19.4x,29.1x,1.0x,11.4x,20.2x,1.2x,0.86,4.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,First Capital Realty Inc.,0.38,0.37,0.02,0.55,0.38,0.0556,0.2985,0.0825,0.0246,0.9100,0.5569,0.4431,1.2568,-2.60,0.57,11.45,0.05,54.84,40.55,0.08,-2.46,"402,507",19.4x,19.6x,13.9x,1.1x,11.5x,19.7x,1.1x,0.86,4.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,First Capital Realty Inc.,0.24,0.23,0.02,0.35,0.24,0.0904,0.5411,0.0777,0.0424,1.6200,0.5351,0.4649,1.1508,-4.02,0.49,11.65,0.05,50.76,36.66,0.08,-1.27,"418,036",21.6x,21.6x,25.8x,1.1x,12.8x,13.8x,1.2x,0.86,4.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,First Capital Realty Inc.,0.53,0.52,0.02,0.47,0.53,0.1348,0.8278,0.0767,0.0646,2.5900,0.5290,0.4710,1.1229,-5.92,0.40,11.19,0.05,46.86,32.27,0.08,-2.84,"471,393",19.8x,19.9x,28.7x,1.0x,12.1x,8.2x,1.1x,0.86,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,First Capital Realty Inc.,0.68,0.66,0.02,0.43,0.68,0.0686,0.4380,0.0750,0.0337,1.3500,0.5209,0.4791,1.0872,-3.85,0.55,11.52,0.05,28.90,25.42,0.08,-3.72,"472,525",18.6x,18.7x,34.8x,1.0x,11.3x,13.6x,1.0x,0.86,4.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,First Capital Realty Inc.,0.63,0.61,0.05,0.54,0.63,0.0897,0.5165,0.0765,0.0408,1.8400,0.5596,0.4404,1.2704,-2.98,0.24,12.57,0.05,28.06,30.65,0.08,-4.16,"452,194",21.1x,21.3x,58.0x,1.0x,12.3x,16.6x,1.1x,0.2867,4.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,First Capital Realty Inc.,0.87,0.74,0.18,0.40,0.87,0.0006,0.0040,0.0674,0.0007,0.0120,0.5757,0.4243,1.3570,-1.20,0.51,15.18,0.04,3.69,14.88,0.07,-9.72,"380,584",20.1x,20.4x,13.5x,0.9x,11.3x,18.8x,0.7x,0.86,4.7,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,First Capital Realty Inc.,0.69,0.49,0.04,0.32,0.69,0.0985,0.6729,0.0676,0.0469,2.0900,0.5381,0.4619,1.1651,-4.28,0.47,14.55,0.05,1.68,25.30,0.07,-2.76,"373,966",22.1x,22.5x,56.0x,0.9x,12.2x,8.8x,0.9x,0.432,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,First Capital Realty Inc.,0.59,0.40,0.04,0.31,0.59,-0.0369,-0.2247,0.0743,-0.0167,-0.7500,0.5476,0.4524,1.2102,0.02,0.39,12.97,0.05,1.69,27.65,0.07,-2.20,"404,620",17.8x,18.1x,18.0x,0.9x,10.1x,-21.2x,0.8x,0.864,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
