Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,FirstService Corp,1.94,1.87,0.66,0.26,1.94,0.0128,0.0031,1.7010,0.0302,0.0940,0.5903,0.4097,1.4405,-2.89,2.68,4.68,0.10,76.94,8.81,1.70,8.34,"81,859.087",NA,NA,NM,NM,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2014,FirstService Corp,1.99,1.91,0.53,0.36,1.99,0.0541,0.0115,1.8390,0.0426,0.4200,0.6106,0.3894,1.5682,-6.54,6.52,5.13,0.12,84.31,9.83,1.84,9.08,"84,861.053",NA,NA,NM,NM,NA,NA,NA,,7.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,FirstService Corp,1.77,1.65,0.35,0.67,1.77,0.0875,0.0169,2.1051,0.0636,0.8200,0.5927,0.4073,1.4551,-7.79,0.34,3.53,0.24,54.72,11.04,2.11,12.63,"139,967.595",18.1x,26.5x,178.1x,3.8x,1.4x,99.8x,8.5x,0.555,7.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,FirstService Corp,1.73,1.57,0.25,0.62,1.73,0.1186,0.0227,1.9234,0.0704,1.2500,0.6324,0.3676,1.7206,-9.92,1.79,3.82,0.22,35.34,9.04,1.92,11.52,"171,316.976",16.6x,23.2x,39.2x,3.8x,1.4x,56.5x,9.2x,0.5908,7.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,FirstService Corp,1.53,1.35,0.27,0.54,1.53,0.1660,0.0298,2.0383,0.0885,1.8000,0.6346,0.3654,1.7364,-10.79,2.16,3.47,0.21,31.32,9.31,2.04,15.34,"195,090.744",19.4x,27.0x,36.2x,4.8x,1.7x,56.8x,12.9x,0.616,7.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,FirstService Corp,1.83,1.62,0.29,0.44,1.83,0.1698,0.0341,1.9171,0.0896,2.5000,0.6151,0.3849,1.5978,-10.13,1.83,3.35,0.16,27.38,8.05,1.92,10.27,"252,308.363",16.2x,22.4x,37.0x,4.0x,1.5x,36.0x,10.6x,0.7371,8.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,FirstService Corp,1.87,1.60,0.34,0.30,1.87,-0.4190,-0.1045,1.2311,-0.1164,-8.5500,0.6929,0.3071,2.2561,5.25,0.48,5.97,0.08,17.29,6.11,1.23,7.77,"294,829.945",23.6x,34.4x,"1,738.5x",3.4x,2.2x,-15.7x,16.8x,0.7791,6.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,FirstService Corp,1.51,1.25,0.34,0.54,1.51,0.1022,0.0315,1.2622,0.0499,2.6000,0.6115,0.3885,1.5738,-6.98,1.27,4.94,0.22,13.18,6.62,1.26,10.06,"346,217.847",26.4x,43.6x,35.1x,4.3x,2.5x,84.7x,9.4x,0.8398,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,FirstService Corp,1.56,1.30,0.27,0.27,1.56,0.1327,0.0416,1.2950,0.0622,3.9000,0.5939,0.4061,1.4626,-14.03,1.98,4.77,0.11,13.65,5.89,1.29,9.39,"395,330.014",30.5x,44.2x,54.8x,5.5x,3.0x,68.4x,11.2x,0.9231,6.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,FirstService Corp,1.74,1.36,0.21,0.17,1.74,0.1061,0.0323,1.3501,0.0523,3.7100,0.5888,0.4112,1.4319,-8.70,1.11,4.90,0.06,10.59,5.89,1.35,7.94,"451,794.16",20.2x,30.7x,90.4x,3.2x,1.8x,47.6x,6.2x,1.0967,7,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
