Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Granite REIT,0.98,0.98,0.89,1.20,0.98,0.0866,0.7650,0.0769,0.0588,3.0600,0.3209,0.6791,0.4725,-6.36,6.21,5.04,0.16,#DIV/0!,76.23,0.08,-89.24,"157,290",14.8x,14.9x,16.7x,1.0x,11.4x,11.2x,1.1x,1.281,5.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Granite REIT,0.98,0.98,0.90,0.72,0.98,0.0430,0.3395,0.0847,0.0288,1.3500,0.3315,0.6685,0.4960,-4.01,0.32,4.71,0.11,#DIV/0!,92.31,0.08,-73.94,"172,473",13.1x,13.1x,13.3x,1.1x,11.3x,50.5x,1.2x,2.304,5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Granite REIT,1.25,1.25,1.15,1.55,1.25,0.1052,0.9040,0.0792,0.0716,4.1600,0.3196,0.6804,0.4697,-13.36,8.07,4.73,0.18,#DIV/0!,56.20,0.08,8.42,"184,420",12.6x,12.6x,14.2x,0.9x,10.6x,10.4x,1.0x,2.304,5.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Granite REIT,4.29,4.29,4.21,2.74,4.29,0.1440,1.2564,0.0767,0.0964,5.9600,0.3304,0.6696,0.4934,-17.76,0.49,5.12,0.17,#DIV/0!,209.57,0.08,1.16,"187,803",13.4x,13.4x,15.2x,1.0x,11.2x,7.1x,1.1x,2.604,5.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Granite REIT,4.02,4.02,0.60,1.37,4.02,0.1673,1.4718,0.0758,0.1116,7.6300,0.3333,0.6667,0.4998,-20.06,8.15,5.78,0.15,#DIV/0!,105.23,0.08,0.69,"184,947",15.4x,15.5x,15.7x,1.1x,12.0x,15.0x,1.2x,2.724,6.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Granite REIT,8.39,8.39,7.78,1.87,8.39,0.1863,1.8871,0.0588,0.1111,10.1800,0.4039,0.5961,0.6775,-27.20,7.98,9.50,0.09,#DIV/0!,57.11,0.06,0.39,"178,173",15.7x,15.7x,21.1x,1.0x,11.9x,4.0x,1.0x,6.396,6.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Granite REIT,3.78,3.78,3.51,2.16,3.78,0.1214,1.4005,0.0568,0.0796,7.0700,0.3447,0.6553,0.5260,-24.12,9.67,8.04,0.11,#DIV/0!,34.92,0.06,1.15,"206,040",23.3x,23.4x,34.7x,1.1x,16.8x,9.5x,1.3x,2.904,6.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Granite REIT,2.26,2.26,2.22,0.67,2.26,0.1096,1.2634,0.0504,0.0637,6.9700,0.4187,0.5813,0.7203,-13.66,6.23,10.82,0.09,#DIV/0!,50.43,0.05,0.72,"261,032",24.6x,24.7x,20.6x,1.1x,19.0x,13.6x,1.3x,3,5.7,2,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Granite REIT,2.96,2.96,2.45,1.60,2.96,0.2462,3.3290,0.0459,0.1529,19.9400,0.3788,0.6212,0.6098,-41.03,0.89,11.03,0.08,#DIV/0!,36.53,0.05,1.22,"294,276",29.6x,29.8x,35.9x,1.1x,22.5x,6.1x,1.4x,3.0996,6.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Granite REIT,0.44,0.44,0.22,0.45,0.44,0.0284,0.3419,0.0491,0.0168,2.4500,0.4095,0.5905,0.6934,-3.59,0.92,10.83,0.07,#DIV/0!,37.42,0.05,-1.32,"350,893",23.2x,23.3x,33.3x,1.0x,17.9x,34.2x,1.0x,3.2004,5.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
