Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,H&R Real Estate Investment Trust,0.27,0.27,0.09,1.99,0.27,0.0516,0.2764,0.0862,0.0238,1.3100,0.5381,0.4619,1.1650,-2.15,0.64,9.39,0.08,#DIV/0!,74.50,0.09,-5.16,"778,390",15.9x,17.2x,13.1x,1.0x,11.3x,18.5x,1.0x,0.9,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,H&R Real Estate Investment Trust,0.51,0.51,0.03,1.07,0.51,0.0651,0.3339,0.0951,0.0318,1.5600,0.5117,0.4883,1.0480,-2.43,0.99,8.10,0.11,#DIV/0!,103.72,0.10,-3.60,"844,862.665",14.3x,14.3x,16.5x,1.0x,9.5x,14.9x,1.0x,1.35,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,H&R Real Estate Investment Trust,0.20,0.20,0.08,0.97,0.20,0.0498,0.2516,0.0967,0.0243,1.2300,0.5122,0.4878,1.0499,-2.27,0.40,#VALUE!,0.07,#DIV/0!,92.07,0.10,-3.52,,NA,13.4x,16.5x,0.9x,8.8x,10.8x,0.9x,1.35,4.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,H&R Real Estate Investment Trust,0.76,0.76,0.10,0.85,0.76,0.0562,0.2907,0.0945,0.0275,1.3800,0.5116,0.4884,1.0477,-3.05,0.39,#VALUE!,0.06,#DIV/0!,102.87,0.09,-10.94,,NA,12.4x,14.4x,1.0x,8.4x,30.5x,1.0x,1.38,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,H&R Real Estate Investment Trust,0.16,0.16,0.06,0.63,0.16,0.0930,0.6046,0.0759,0.0459,2.3100,0.5068,0.4932,1.0278,-3.46,0.44,#VALUE!,0.06,#DIV/0!,70.19,0.08,-1.74,,NA,15.6x,17.6x,0.9x,9.7x,12.9x,0.9x,1.38,4.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,H&R Real Estate Investment Trust,0.40,0.40,0.10,0.84,0.40,0.0469,0.2787,0.0825,0.0230,1.1800,0.5099,0.4901,1.0404,-2.44,0.28,#VALUE!,0.06,#DIV/0!,97.77,0.08,-3.65,,NA,16.2x,27.8x,0.9x,9.9x,9.8x,0.8x,1.38,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,H&R Real Estate Investment Trust,0.41,0.41,0.08,0.67,0.41,0.0483,0.2850,0.0825,0.0235,1.1900,0.5137,0.4863,1.0561,-2.49,0.34,#VALUE!,0.06,#DIV/0!,105.12,0.08,-3.23,,NA,15.6x,13.9x,0.9x,9.4x,25.4x,0.9x,1.38,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,H&R Real Estate Investment Trust,0.47,0.47,0.08,0.54,0.47,-0.1029,-0.5484,0.0853,-0.0468,-2.1800,0.5454,0.4546,1.1997,1.96,0.40,#VALUE!,0.06,#DIV/0!,58.05,0.09,-2.70,,NA,13.5x,25.4x,0.8x,8.3x,-6.7x,0.7x,0.69,4.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,H&R Real Estate Investment Trust,0.64,0.64,0.40,1.45,0.64,0.1252,0.5938,0.0959,0.0569,2.0800,0.5454,0.4546,1.1997,-4.20,0.18,#VALUE!,0.08,#DIV/0!,164.26,0.10,-8.94,,NA,15.8x,25.5x,0.9x,9.3x,9.3x,0.8x,0.69,4.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,H&R Real Estate Investment Trust,0.71,0.71,0.11,0.36,0.71,0.1540,0.9535,0.0776,0.0740,3.1000,0.5192,0.4808,1.0798,-7.05,0.56,#VALUE!,0.04,#DIV/0!,166.62,0.08,-4.22,,NA,10.9x,60.6x,0.7x,7.0x,3.7x,0.6x,0.5496,4.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
