Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Riocan REIT,0.16,0.07,0.06,0.63,0.16,0.0975,0.5988,0.0875,0.0527,2.3000,0.4625,0.5375,0.8606,-4.05,0.32,8.50,0.07,6.32,33.83,0.09,-2.19,"736,010",17.5x,17.6x,17.9x,1.1x,11.0x,8.3x,1.1x,0.8225,5.2,2,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Riocan REIT,1.52,1.33,0.14,1.21,1.52,0.0843,0.6380,0.0708,0.0452,1.4100,0.4639,0.5361,0.8653,-3.31,0.57,11.14,0.07,4.66,19.84,0.07,4.79,"611,456",19.9x,19.9x,18.8x,1.1x,12.1x,11.2x,1.1x,1.41,5.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Riocan REIT,1.27,1.26,0.03,0.23,1.27,0.0179,0.1270,0.0698,0.0089,1.2600,0.5045,0.4955,1.0180,-3.24,0.39,12.89,0.08,9.59,24.65,0.07,1.50,"625,903",27.8x,28.1x,-82.0x,1.0x,15.6x,47.8x,1.0x,1.41,5.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Riocan REIT,0.40,0.37,0.04,0.32,0.40,0.1037,0.7026,0.0834,0.0586,2.0600,0.4349,0.5651,0.7695,-4.78,0.14,9.06,0.07,9.15,29.01,0.08,-1.48,"680,326",21.3x,21.5x,13.1x,1.1x,12.0x,12.6x,1.1x,1.41,5.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Riocan REIT,1.20,1.01,0.10,0.51,1.20,0.0889,0.5789,0.0859,0.0498,2.1600,0.4404,0.5596,0.7871,-5.13,0.25,8.42,0.06,3.26,66.54,0.09,9.05,"752,286",18.4x,18.6x,21.3x,1.0x,11.1x,11.9x,1.0x,1.41,5.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Riocan REIT,0.43,0.28,0.05,0.29,0.43,0.0689,0.4435,0.0850,0.0377,1.6800,0.4525,0.5475,0.8266,-4.12,0.30,9.31,0.06,2.17,69.87,0.09,-1.47,"680,492",18.6x,18.8x,19.7x,1.0x,10.9x,12.5x,1.0x,1.44,5.2,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Riocan REIT,0.28,0.20,0.07,0.44,0.28,0.0934,0.5700,0.0896,0.0511,2.5200,0.4532,0.5468,0.8288,-5.25,0.32,9.60,0.08,5.42,69.28,0.09,-1.46,"716,736",21.0x,21.2x,18.2x,1.0x,11.1x,11.0x,1.1x,1.44,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Riocan REIT,0.56,0.40,0.18,0.42,0.56,-0.0084,-0.0553,0.0767,-0.0042,-0.2000,0.4934,0.5066,0.9739,-0.70,0.34,11.45,0.07,2.18,24.93,0.08,-2.02,"657,778",17.8x,17.9x,19.2x,0.8x,9.9x,260.9x,0.7x,1.44,5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Riocan REIT,0.57,0.33,0.09,0.54,0.57,0.0756,0.4943,0.0798,0.0394,1.8900,0.4787,0.5213,0.9184,-4.49,0.28,10.62,0.07,2.18,36.72,0.08,-3.15,"684,035",20.6x,20.7x,28.2x,0.9x,11.8x,15.8x,0.9x,0.96,5.2,9,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Riocan REIT,0.34,0.17,0.05,0.32,0.34,0.0306,0.1917,0.0818,0.0157,0.7700,0.4882,0.5118,0.9539,-2.32,0.59,11.08,0.07,1.87,38.19,0.08,-1.18,"665,160",18.9x,19.0x,20.4x,0.9x,10.2x,26.5x,0.8x,1.02,4.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
