Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Smart REIT,0.26,0.21,0.21,0.50,0.26,0.0717,0.4668,0.0827,0.0448,2.3600,0.4619,0.5381,0.8583,-3.27,0.62,8.63,0.07,8.62,37.71,0.08,-1.68,"378,223",17.0x,17.0x,17.9x,0.9x,11.1x,3.2x,1.0x,0.903,5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Smart REIT,0.07,0.03,0.04,0.42,0.07,0.0580,0.3629,0.0878,0.0371,1.9400,0.4504,0.5496,0.8194,-2.73,0.39,8.01,0.08,9.08,44.84,0.09,-1.18,"399,863",16.9x,16.9x,18.3x,1.0x,10.9x,15.8x,1.1x,1.6008,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Smart REIT,0.13,0.07,0.05,0.73,0.13,0.0600,0.3894,0.0813,0.0376,2.0900,0.4729,0.5271,0.8973,-3.22,0.42,9.18,0.07,9.83,33.08,0.08,-1.97,"437,949",19.8x,19.8x,19.5x,1.0x,12.5x,15.9x,1.3x,1.65,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Smart REIT,0.08,0.05,0.03,0.44,0.08,0.0691,0.4229,0.0872,0.0442,2.4800,0.4663,0.5337,0.8737,-3.62,0.59,8.36,0.08,10.31,46.28,0.09,-1.15,"487,423",18.4x,18.5x,18.4x,1.0x,11.6x,15.5x,1.3x,1.7,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Smart REIT,0.37,0.33,0.26,0.57,0.37,0.0615,0.3936,0.0804,0.0379,2.2400,0.4854,0.5146,0.9431,-3.65,0.45,9.91,0.08,13.54,52.57,0.08,-1.92,"459,294",18.3x,18.3x,19.2x,1.0x,11.4x,12.0x,1.3x,1.75,4.9,3,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Smart REIT,0.14,0.11,0.04,0.44,0.14,0.0668,0.4124,0.0857,0.0426,2.4900,0.4706,0.5294,0.8888,-3.85,0.41,8.98,0.08,12.50,37.23,0.09,-1.19,"495,797",18.1x,18.4x,18.5x,1.0x,11.1x,12.4x,1.2x,1.8,4.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Smart REIT,0.37,0.30,0.17,1.04,0.37,0.0585,0.3808,0.0831,0.0377,2.1800,0.4594,0.5406,0.8497,-3.38,0.26,8.94,0.08,12.27,40.21,0.08,-3.93,"510,027",18.8x,18.8x,18.8x,1.0x,11.3x,14.3x,1.2x,1.85,5.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Smart REIT,0.81,0.79,0.73,0.27,0.81,0.0146,0.0877,0.0800,0.0084,0.5200,0.5182,0.4818,1.0756,-1.53,0.28,10.43,0.05,12.43,18.62,0.08,-4.13,"532,865",15.5x,15.7x,15.5x,0.9x,9.6x,27.4x,0.9x,1.85,4.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Smart REIT,0.16,0.13,0.07,0.40,0.16,0.1417,0.8242,0.0890,0.0875,5.7200,0.4828,0.5172,0.9333,-7.88,0.42,8.17,0.07,10.77,34.40,0.09,-1.29,"667,395.665",17.5x,18.0x,21.7x,1.0x,10.9x,14.5x,1.3x,1.85,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Smart REIT,0.26,0.21,0.05,0.51,0.26,0.0837,0.6241,0.0707,0.0543,3.5700,0.4733,0.5267,0.8987,-6.96,0.68,10.95,0.07,7.48,28.45,0.07,-1.56,"505,700",18.0x,18.1x,21.9x,0.9x,11.0x,7.3x,0.9x,1.85,5,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
