Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Mainstreet Equity Corp.,0.22,0.21,0.01,0.17,0.22,0.1275,0.8093,0.0671,0.0543,5.9700,0.5737,0.4263,1.3459,-4.14,0.24,15.22,0.03,85.48,234.10,0.07,-0.74,"43,894",21.0x,21.1x,29.1x,0.9x,11.6x,20.1x,0.7x,,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Mainstreet Equity Corp.,0.07,0.07,0.01,0.27,0.07,0.1182,0.7361,0.0710,0.0523,6.3800,0.5577,0.4423,1.2611,-4.17,0.15,13.81,0.04,66.70,364.70,0.07,-1.04,"51,401",20.8x,21.0x,22.0x,0.9x,11.7x,5.8x,0.8x,,5.3,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Mainstreet Equity Corp.,0.07,0.07,0.01,0.32,0.07,0.1043,0.6446,0.0716,0.0462,6.2300,0.5573,0.4427,1.2587,-4.21,0.35,13.32,0.04,71.74,223.09,0.07,-1.03,"58,607",17.1x,17.2x,19.2x,0.8x,9.9x,10.0x,0.6x,,5.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Mainstreet Equity Corp.,0.09,0.09,0.01,0.26,0.09,0.0292,0.1712,0.0679,0.0116,1.7900,0.6018,0.3982,1.5116,-1.81,0.26,16.33,0.03,107.29,135.52,0.07,-1.12,"54,424",17.0x,17.1x,21.5x,0.8x,9.7x,7.6x,0.5x,,5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Mainstreet Equity Corp.,1.23,1.22,1.00,1.24,1.23,0.1343,0.8689,0.0627,0.0545,10.2500,0.5943,0.4057,1.4647,-4.53,0.28,18.33,0.03,165.14,150.16,0.06,18.66,"54,096",21.5x,21.6x,22.8x,0.8x,10.8x,8.9x,0.6x,,5.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Mainstreet Equity Corp.,0.13,0.11,0.01,0.54,0.13,0.0970,0.6287,0.0616,0.0387,8.2300,0.6009,0.3991,1.5059,-3.94,0.63,18.42,0.03,63.51,184.47,0.06,-2.34,"61,296",23.2x,23.3x,27.7x,0.8x,12.2x,2.9x,0.6x,,5.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Mainstreet Equity Corp.,0.04,0.04,0.00,0.21,0.04,0.0733,0.4264,0.0669,0.0285,6.4100,0.6108,0.3892,1.5691,-2.91,0.71,17.01,0.03,53.28,155.14,0.07,-0.75,"73,801",23.8x,24.0x,26.1x,0.9x,12.7x,9.5x,0.8x,,4.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Mainstreet Equity Corp.,0.43,0.42,0.35,0.32,0.43,0.0791,0.4577,0.0669,0.0306,7.3200,0.6126,0.3874,1.5814,-3.19,0.20,17.10,0.03,57.08,192.26,0.07,-2.34,"80,193",22.4x,22.6x,26.9x,0.9x,12.1x,13.6x,0.8x,,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Mainstreet Equity Corp.,0.52,0.50,0.20,0.37,0.52,0.2065,1.4102,0.0598,0.0843,24.1300,0.5916,0.4084,1.4485,-7.83,0.25,18.57,0.02,32.69,207.16,0.06,-3.47,"85,221",27.4x,27.6x,34.4x,1.0x,14.6x,4.2x,0.9x,,5.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Mainstreet Equity Corp.,0.52,0.51,0.35,0.41,0.52,0.0996,0.6675,0.0624,0.0417,12.9000,0.5816,0.4184,1.3898,-4.43,0.48,17.83,0.03,38.14,212.94,0.06,-2.97,"94,364",25.9x,26.0x,38.2x,0.9x,13.6x,9.5x,0.9x,,5.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
