Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,BCE Inc,0.64,0.59,0.04,0.82,0.64,0.1296,0.1032,0.4495,0.0526,2.5500,0.6419,0.3581,1.7929,-4.45,1.89,3.97,0.22,31.75,7.02,0.45,-7.23,"7,338,000",8.2x,13.2x,24.3x,1.7x,2.9x,16.6x,3.1x,1.165,3.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,BCE Inc,0.50,0.46,0.06,0.69,0.50,0.1641,0.1188,0.4545,0.0587,2.9800,0.6708,0.3292,2.0381,-5.11,3.12,4.03,0.20,37.55,7.22,0.45,-4.63,"7,700,000",9.0x,14.6x,21.1x,1.9x,3.3x,19.3x,4.2x,3.0875,3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,BCE Inc,0.48,0.44,0.06,0.63,0.48,0.1545,0.1245,0.4483,0.0569,2.9800,0.6389,0.3611,1.7695,-5.02,2.10,3.84,0.20,30.61,7.60,0.45,-4.15,"7,981,000",9.0x,14.2x,25.6x,1.9x,3.3x,18.0x,3.8x,2.6,3.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,BCE Inc,0.48,0.44,0.08,0.66,0.48,0.1698,0.1396,0.4334,0.0616,3.3300,0.6437,0.3563,1.8065,-5.73,1.95,3.96,0.21,31.41,7.70,0.43,-4.13,"8,149,000",9.1x,14.5x,25.9x,2.0x,3.5x,18.5x,4.1x,2.73,3.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,BCE Inc,0.53,0.49,0.06,0.69,0.53,0.1452,0.1316,0.4078,0.0547,3.2000,0.6304,0.3696,1.7056,-5.31,2.04,4.12,0.21,34.60,5.94,0.41,-4.48,"8,538,000",9.6x,15.4x,19.6x,1.8x,3.6x,19.0x,3.6x,2.87,3.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,BCE Inc,0.56,0.51,0.04,0.71,0.56,0.1416,0.1248,0.4110,0.0521,3.1000,0.6377,0.3623,1.7599,-4.97,1.99,4.16,0.20,31.60,6.09,0.41,-5.06,"8,759,000",8.8x,14.1x,36.8x,1.7x,3.3x,17.1x,2.9x,3.02,3.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,BCE Inc,0.56,0.52,0.01,0.81,0.56,0.1491,0.1341,0.3956,0.0541,3.3400,0.6441,0.3559,1.8095,-4.87,2.38,4.54,0.21,31.88,6.06,0.40,-5.59,"8,530,000",9.3x,15.2x,21.7x,1.8x,3.6x,18.4x,3.2x,3.17,3.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,BCE Inc,0.69,0.63,0.03,0.94,0.69,0.1235,0.1151,0.3772,0.0445,2.5100,0.6484,0.3516,1.8442,-3.94,1.27,4.85,0.20,29.80,6.07,0.38,-8.86,"8,103,000",9.7x,15.2x,31.8x,1.6x,3.5x,21.8x,2.9x,3.33,3.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,BCE Inc,0.68,0.63,0.03,0.88,0.68,0.1238,0.1211,0.3512,0.0433,2.9900,0.6564,0.3436,1.9102,-4.64,2.09,5.26,0.18,27.72,5.93,0.35,-8.04,"8,328,000",10.9x,17.2x,30.4x,1.7x,3.9x,21.7x,3.1x,3.5,3.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,BCE Inc,0.57,0.51,0.01,0.73,0.57,0.1274,0.1186,0.3487,0.0422,2.9800,0.6752,0.3248,2.0792,-4.40,2.64,5.43,0.18,20.89,5.69,0.35,-4.85,"8,615,000",11.1x,17.3x,37.9x,1.8x,3.9x,21.9x,3.2x,3.68,3.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
