Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Celestica Inc.,1.91,1.17,0.49,0.13,1.91,0.0842,0.0204,2.1964,0.0447,0.6800,0.4687,0.5313,0.8822,-46.07,2.58,5.91,0.12,6.62,8.86,2.20,5.73,"222,351.948",6.6x,10.0x,9.8x,1.0x,0.2x,18.3x,1.3x,,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Celestica Inc.,2.00,1.31,0.54,0.23,2.00,0.0776,0.0192,2.1796,0.0419,0.7000,0.4601,0.5399,0.8522,-41.19,#VALUE!,5.23,0.20,7.27,8.12,2.18,5.36,"262,997.697",6.8x,9.5x,17.5x,1.0x,0.3x,15.4x,1.4x,,5.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Celestica Inc.,1.87,1.17,0.48,0.17,1.87,0.0613,0.0119,2.1590,0.0256,0.6000,0.5823,0.4177,1.3941,-18.32,10.44,6.92,0.13,6.60,8.28,2.16,5.69,"304,968.104",6.5x,9.2x,14.5x,1.0x,0.2x,31.3x,1.5x,,4.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Celestica Inc.,1.90,1.35,0.45,0.14,1.90,0.1100,0.0229,2.1277,0.0487,1.3100,0.5574,0.4426,1.2594,36.91,2.30,6.28,0.11,8.21,5.94,2.13,5.39,"338,659.204",5.9x,8.3x,96.1x,0.9x,0.2x,13.1x,1.4x,,5.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Celestica Inc.,1.96,1.30,0.41,0.10,1.96,0.0770,0.0172,2.0723,0.0356,0.9300,0.5378,0.4622,1.1633,-14.18,2.24,6.32,0.08,6.95,6.00,2.07,5.08,"316,937.599",4.6x,6.3x,73.6x,0.8x,0.2x,13.3x,1.1x,,5.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Celestica Inc.,1.74,1.07,0.26,0.02,1.74,0.0742,0.0149,1.7747,0.0265,0.9700,0.6436,0.3564,1.8054,-4.36,0.08,9.33,0.01,5.69,5.50,1.77,5.51,"351,891.844",4.7x,7.1x,303.3x,0.7x,0.2x,22.8x,0.9x,,5.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Celestica Inc.,1.75,1.08,0.32,0.23,1.75,0.0518,0.0119,1.6537,0.0197,0.7000,0.6191,0.3809,1.6255,-3.02,1.15,9.39,0.16,5.55,5.59,1.65,5.30,"304,885.452",5.6x,11.5x,8.7x,0.6x,0.2x,7.8x,0.8x,,5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Celestica Inc.,1.73,1.04,0.29,0.15,1.73,0.0430,0.0105,1.5688,0.0165,0.6000,0.6155,0.3845,1.6005,-3.39,1.24,9.20,0.11,4.89,5.26,1.57,4.96,"311,870.142",5.8x,10.5x,8.4x,0.6x,0.2x,31.1x,0.7x,,5.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Celestica Inc.,1.52,0.77,0.17,0.10,1.52,0.0710,0.0184,1.2074,0.0223,1.0400,0.6865,0.3135,2.1900,-5.29,0.92,11.45,0.07,3.03,4.47,1.21,4.77,"353,941.947",5.9x,9.0x,15.7x,0.7x,0.3x,15.1x,0.9x,,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Celestica Inc.,1.42,0.65,0.12,0.10,1.42,0.0867,0.0201,1.2882,0.0259,1.6000,0.7019,0.2981,2.3546,-4.41,2.14,8.89,0.08,2.81,5.20,1.29,5.70,"601,559.985",5.1x,7.3x,17.2x,0.8x,0.3x,10.2x,0.9x,,5.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
