Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Ceridian HCM Holding Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Ceridian HCM Holding Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Ceridian HCM Holding Inc,1.01,1.01,0.01,0.00,1.01,-0.1097,-0.1712,0.0876,-0.0150,-2.3200,0.8633,0.1367,6.3156,0.19,0.19,87.27,0.00,#DIV/0!,9.44,0.09,14.67,"95,874.868",NA,NA,NM,NM,NA,NA,NA,,NA,2,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Ceridian HCM Holding Inc,1.05,1.05,0.03,-0.02,1.05,-0.0789,-0.1260,0.0996,-0.0125,-2.1900,0.8410,0.1590,5.2889,-0.04,0.76,109.69,-0.01,#DIV/0!,9.65,0.10,3.21,"65,126.77",NA,NA,NM,NM,NA,NA,NA,,3.5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Ceridian HCM Holding Inc,1.04,1.04,0.02,-0.01,1.04,0.0027,0.0049,0.0992,0.0003,-0.2200,0.8224,0.1776,4.6300,-0.54,0.35,62.51,-0.01,#DIV/0!,11.88,0.10,3.75,"112,769.943",NA,NA,NM,NM,NA,NA,0.0x,,3.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Ceridian HCM Holding Inc,1.06,1.06,0.08,0.00,1.06,-0.0375,-0.0818,0.1411,-0.0116,-0.5100,0.6922,0.3078,2.2484,-0.53,0.01,41.37,0.00,#DIV/0!,12.88,0.14,4.50,"119,845.244",45.4x,88.9x,44.2x,2.4x,7.2x,-595.2x,3.1x,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Ceridian HCM Holding Inc,1.07,1.07,0.08,0.02,1.07,0.0418,0.0955,0.1354,0.0129,0.7200,0.6907,0.3093,2.2331,-2.06,1.28,43.83,0.01,#DIV/0!,11.84,0.14,3.27,"124,525.191",81.8x,109.8x,370.2x,4.0x,12.8x,109.7x,5.3x,,1.7,7,0,,,,,,,,,,,,,,,,,,,,,,,
2020,Ceridian HCM Holding Inc,1.07,1.07,0.05,-0.01,1.07,-0.0019,-0.0047,0.1257,-0.0006,-0.0350,0.6869,0.3131,2.1938,-0.20,0.86,109.34,-0.01,#DIV/0!,9.62,0.13,3.26,"53,568.882",188.9x,253.2x,-596.2x,5.3x,19.3x,"1,334.7x",7.7x,,2.3,1,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Ceridian HCM Holding Inc,1.11,1.11,0.10,0.01,1.11,-0.0338,-0.0736,0.1429,-0.0105,-0.6300,0.6892,0.3108,2.2171,1.52,1.12,404.81,0.01,#DIV/0!,8.37,0.14,2.55,"15,427.266",776.0x,-748.0x,283.0x,4.9x,17.2x,-190.0x,7.1x,,2.1,4,1,,,,,,,,,,,,,,,,,,,,,,,
2022,Ceridian HCM Holding Inc,1.08,1.08,0.10,0.03,1.08,-0.0348,-0.0589,0.1574,-0.0093,-0.6500,0.7336,0.2664,2.7533,1.20,3.58,103.16,0.02,#DIV/0!,9.31,0.16,3.46,"76,227.385",189.0x,985.2x,74.8x,3.2x,8.5x,-133.8x,4.7x,,1.2,6,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
