Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,CGI Inc,0.77,0.77,0.03,0.19,0.77,0.1124,0.0452,0.9270,0.0419,1.4800,0.6272,0.3728,1.6825,-7.27,1.06,4.98,0.10,#DIV/0!,5.22,0.93,-12.62,"1,369,198",11.7x,16.0x,9.4x,2.0x,1.5x,76.2x,2.8x,,5.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,CGI Inc,1.03,1.03,0.19,0.42,1.03,0.1723,0.0819,0.9346,0.0765,2.7800,0.5559,0.4441,1.2519,-13.48,0.83,3.72,0.19,#DIV/0!,6.24,0.93,117.49,"1,678,023",8.8x,10.9x,13.1x,1.9x,1.4x,14.9x,2.5x,,8.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,CGI Inc,0.95,0.95,0.10,0.41,0.95,0.1607,0.0950,0.8727,0.0829,3.1400,0.4840,0.5160,0.9380,-16.53,1.23,3.25,0.23,#DIV/0!,5.84,0.87,-72.31,"1,756,830",9.5x,11.5x,15.4x,2.1x,1.6x,15.5x,2.6x,,9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,CGI Inc,1.15,1.15,0.21,0.48,1.15,0.1653,0.1000,0.9136,0.0914,3.5100,0.4472,0.5528,0.8088,-22.16,4.57,2.88,0.25,#DIV/0!,6.10,0.91,25.14,"1,816,228",11.3x,13.3x,17.9x,2.6x,1.9x,18.5x,3.1x,,10.6,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,CGI Inc,1.06,1.06,0.06,0.50,1.06,0.1669,0.0955,0.9516,0.0908,3.4800,0.4557,0.5443,0.8373,-25.32,5.08,2.87,0.26,#DIV/0!,5.85,0.95,67.17,"1,811,984",11.2x,12.9x,18.0x,2.4x,1.9x,17.2x,2.9x,,10.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,CGI Inc,1.00,1.00,0.06,0.48,1.00,0.1707,0.0992,0.9654,0.0958,4.0200,0.4392,0.5608,0.7830,-25.85,6.93,2.71,0.29,#DIV/0!,5.56,0.97,-755.29,"1,930,268",13.1x,15.1x,17.6x,2.9x,2.2x,22.0x,3.5x,,10.7,8,2,,,,,,,,,,,,,,,,,,,,,,,
2019,CGI Inc,1.13,1.13,0.07,0.57,1.13,0.1835,0.1043,0.9596,0.1001,4.6300,0.4546,0.5454,0.8335,-33.41,3.99,2.79,0.28,#DIV/0!,5.83,0.96,32.45,"2,060,181",15.0x,16.9x,23.7x,3.3x,2.6x,22.8x,4.2x,,11.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,CGI Inc,1.35,1.35,0.47,0.53,1.35,0.1539,0.0919,0.7822,0.0719,4.2700,0.5329,0.4671,1.1407,-15.64,2.59,3.95,0.23,#DIV/0!,6.14,0.78,9.50,"2,099,380",12.1x,14.3x,15.1x,2.3x,2.2x,19.6x,3.4x,,9.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,CGI Inc,1.25,1.25,0.45,0.56,1.25,0.1960,0.1129,0.8073,0.0911,5.5000,0.5349,0.4651,1.1501,-19.83,0.98,3.76,0.26,#DIV/0!,6.11,0.81,12.61,"2,136,829",13.7x,15.2x,16.8x,2.7x,2.4x,20.6x,4.0x,,9.6,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,CGI Inc,1.19,1.19,0.26,0.51,1.19,0.2016,0.1139,0.8479,0.0966,6.1300,0.5208,0.4792,1.0866,-24.99,2.48,3.47,0.24,#DIV/0!,5.60,0.85,18.39,"2,277,931",12.5x,13.5x,19.1x,2.6x,2.2x,17.0x,3.5x,,10.2,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
