Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Constellation Software Inc.,0.37,0.35,0.07,0.20,0.37,0.3501,0.0769,0.7874,0.0606,4.6700,0.8270,0.1730,4.7809,-31.31,56.47,8.20,0.17,38.76,4.90,0.79,-1.74,"164,834.715",29.3x,48.0x,26.3x,11.7x,4.1x,49.5x,18.3x,2.1247,-2.4,3,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Constellation Software Inc.,0.54,0.51,0.09,0.45,0.54,0.3968,0.0618,1.1648,0.0719,5.6300,0.8187,0.1813,4.5156,-12.25,0.80,4.80,0.29,43.58,6.64,1.16,-4.80,"283,122.637",26.0x,39.1x,22.8x,10.8x,4.2x,59.5x,25.2x,4.6323,2.7,7,1,,,,,,,,,,,,,,,,,,,,,,,
2015,Constellation Software Inc.,0.72,0.69,0.23,0.51,0.72,0.5255,0.0964,1.1214,0.1081,11.6000,0.7943,0.2057,3.8604,-13.93,4.63,3.94,0.30,47.94,6.42,1.12,-8.61,"458,219.432",28.8x,35.7x,30.5x,13.6x,5.1x,58.5x,29.9x,5.5499,5.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Constellation Software Inc.,0.89,0.86,0.40,0.56,0.89,0.4520,0.0973,1.1283,0.1098,13.1000,0.7571,0.2429,3.1168,-13.38,15.42,3.50,0.34,67.83,7.08,1.13,-21.36,"546,800.332",24.6x,29.1x,26.9x,12.3x,4.7x,46.5x,22.8x,5.3713,6.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Constellation Software Inc.,0.85,0.83,0.42,0.45,0.85,0.3673,0.0895,1.0836,0.0970,13.1600,0.7359,0.2641,2.7872,-15.19,3.28,3.55,0.31,66.47,6.51,1.08,-13.85,"597,165.25",26.6x,34.2x,28.0x,14.8x,5.4x,60.7x,23.4x,5.0288,6.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Constellation Software Inc.,0.90,0.87,0.44,0.49,0.90,0.4376,0.1239,1.0426,0.1291,24.4100,0.7049,0.2951,2.3891,-24.14,9.74,3.59,0.32,56.65,6.92,1.04,-22.50,"787,593.46",24.1x,30.9x,26.1x,12.2x,4.6x,49.1x,19.0x,5.4599,7.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Constellation Software Inc.,0.61,0.60,0.18,0.44,0.61,0.4847,0.0954,1.0006,0.0955,20.4000,0.8030,0.1970,4.0771,-13.67,8.62,4.28,0.27,70.90,6.56,1.00,-5.21,"849,212.46",29.7x,39.1x,31.7x,16.1x,6.3x,49.0x,33.6x,5.194,4.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Constellation Software Inc.,0.78,0.76,0.37,0.58,0.78,0.4160,0.1099,0.9072,0.0997,26.1800,0.7605,0.2395,3.1746,-15.33,8.18,3.86,0.36,91.74,6.83,0.91,-8.72,"1,098,098.46",33.3x,44.3x,31.5x,17.8x,7.2x,72.4x,30.5x,5.0897,5.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Constellation Software Inc.,0.75,0.73,0.31,0.53,0.75,0.2039,0.0607,0.8857,0.0291,18.5000,0.7364,0.2636,2.7934,-8.06,9.15,3.82,0.31,92.20,6.90,0.89,-8.16,"1,404,892.83",36.5x,48.5x,38.8x,14.6x,8.3x,117.8x,40.5x,5.0581,6.1,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Constellation Software Inc.,0.65,0.64,0.22,0.34,0.65,0.2649,0.0773,0.8401,0.0698,32.7100,0.7548,0.2452,3.0776,-8.88,4.50,4.77,0.22,89.56,5.99,0.84,-5.07,"1,687,021.7",34.6x,46.8x,37.6x,10.2x,6.5x,81.0x,24.2x,5.4158,4.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
