Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Converge Technology Solutions Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Converge Technology Solutions Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Converge Technology Solutions Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Converge Technology Solutions Corp,0.00,0.00,0.00,0.00,0.00,12.0443,#VALUE!,#VALUE!,-3264.0000,,272.0000,-271.0000,-1.0037,#VALUE!,#VALUE!,#VALUE!,0.00,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,,NA,NA,NM,NM,NA,NA,NA,,NA,1,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Converge Technology Solutions Corp,0.67,0.56,0.08,0.06,0.67,0.9300,-0.0742,0.4850,-0.0360,-0.2100,1.0387,-0.0387,-26.8306,2.52,3.93,-546.20,0.05,3.77,1.25,0.48,-1.57,-207,NA,NA,NM,NM,NA,NA,NA,,-0.2,4,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Converge Technology Solutions Corp,0.69,0.64,0.04,0.00,0.69,4.0488,-0.0397,1.7916,-0.0712,-0.2800,1.0176,-0.0176,-57.9045,1.06,0.00,16.52,0.00,29.80,3.58,1.79,-6.22,"15,783",NA,18.7x,10.1x,1.7x,0.2x,-2.3x,-5.6x,,0.4,5,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Converge Technology Solutions Corp,0.65,0.59,0.05,0.05,0.65,1.0975,-0.0158,1.4069,-0.0222,-0.1400,1.0202,-0.0202,-50.4972,-0.20,0.03,18.71,0.05,22.51,3.17,1.41,-4.35,"26,659",9.5x,19.7x,15.2x,1.8x,0.4x,-6.7x,-11.1x,,-0.1,4,0,,,,,,,,,,,,,,,,,,,,,,,
2020,Converge Technology Solutions Corp,0.84,0.77,0.11,0.09,0.84,-0.0410,-0.0044,1.3166,-0.0058,-0.0410,0.8588,0.1412,6.0825,-0.84,0.99,11.62,0.08,18.90,2.68,1.32,-10.07,"53,248",17.7x,33.7x,8.4x,4.3x,0.9x,-201.0x,14.7x,,2.4,6,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Converge Technology Solutions Corp,1.32,1.14,0.42,0.15,1.32,0.0246,0.0120,0.9714,0.0120,0.0860,0.5260,0.4740,1.1097,-4.48,0.56,8.68,0.12,9.44,3.35,0.97,7.02,"82,908",31.8x,45.3x,52.1x,3.4x,1.6x,227.7x,3.8x,,6.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Converge Technology Solutions Corp,0.78,0.67,0.11,0.03,0.78,0.0433,0.0126,0.9625,0.0102,0.1300,0.7195,0.2805,2.5651,-2.07,1.39,13.02,0.03,10.19,2.90,0.96,-6.99,"124,265",8.3x,18.4x,15.2x,0.9x,0.5x,25.3x,1.2x,,2.3,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
