Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Descartes Systems Group Inc,2.49,2.46,1.42,0.96,2.49,0.0384,0.0635,0.4392,0.0279,0.1700,0.2738,0.7262,0.3770,-15.67,9.15,2.22,0.45,36.33,7.36,0.44,2.29,"47,399.861",21.6x,43.9x,25.7x,3.4x,6.1x,63.0x,3.7x,,3.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Descartes Systems Group Inc,3.92,3.91,2.94,1.23,3.92,0.0386,0.0881,0.3846,0.0339,0.2700,0.1212,0.8788,0.1379,-29.90,0.77,1.07,0.92,115.78,7.56,0.38,1.46,"64,041.324",21.0x,40.8x,20.9x,2.6x,6.1x,80.5x,2.9x,,11,7,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Descartes Systems Group Inc,1.87,1.87,0.93,1.35,1.87,0.0511,0.1112,0.4086,0.0454,0.3800,0.1121,0.8879,0.1262,-85.92,165.88,0.86,1.07,347.48,7.22,0.41,5.30,"83,327.234",22.8x,45.6x,27.6x,3.2x,7.1x,71.4x,3.3x,,7.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Descartes Systems Group Inc,1.35,1.35,0.71,1.35,1.35,0.0554,0.1170,0.4071,0.0476,0.4100,0.1397,0.8603,0.1624,38.18,7.72,1.03,1.04,335.64,8.02,0.41,10.88,"88,191.269",24.0x,48.4x,20.9x,3.7x,7.9x,71.6x,3.9x,,5.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Descartes Systems Group Inc,1.11,1.10,0.52,1.07,1.11,0.0539,0.1132,0.3800,0.0430,0.4300,0.2017,0.7983,0.2527,-31.59,1.63,1.63,0.57,517.92,8.25,0.38,33.15,"95,271.655",29.2x,56.2x,30.5x,4.1x,9.7x,82.6x,4.5x,,3.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Descartes Systems Group Inc,1.03,1.03,0.39,1.11,1.03,0.0586,0.1137,0.4212,0.0479,0.5300,0.1834,0.8166,0.2246,-21.44,0.97,1.33,0.65,789.41,8.74,0.42,146.60,"118,200.101",27.9x,56.1x,32.9x,4.2x,9.0x,79.5x,4.6x,,5.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Descartes Systems Group Inc,1.13,1.12,0.50,1.17,1.13,0.0450,0.1136,0.3456,0.0393,0.6000,0.1282,0.8718,0.1471,-12.37,0.32,1.03,0.86,208.57,9.28,0.35,28.92,"155,617.863",34.0x,69.3x,37.3x,4.5x,12.0x,112.8x,4.7x,,10.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Descartes Systems Group Inc,1.95,1.94,1.28,1.26,1.95,0.0572,0.1494,0.3279,0.0490,0.7900,0.1431,0.8569,0.1670,-69.52,11.10,1.12,0.86,209.58,9.37,0.33,3.53,"173,179.832",38.9x,76.0x,47.5x,5.7x,14.9x,111.2x,5.9x,,12.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Descartes Systems Group Inc,2.19,2.18,1.60,1.32,2.19,0.0863,0.2032,0.3583,0.0728,1.3000,0.1566,0.8434,0.1856,-125.53,93.10,1.07,0.95,117.29,10.18,0.36,2.68,"221,296.244",36.7x,59.9x,39.1x,6.0x,14.8x,73.1x,6.2x,,14.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Descartes Systems Group Inc,2.11,2.11,1.63,1.13,2.11,0.0930,0.2104,0.3693,0.0777,1.6000,0.1646,0.8354,0.1971,39.60,58.41,1.08,0.89,149.31,10.76,0.37,2.57,"267,795.023",32.2x,47.7x,32.6x,5.9x,13.3x,66.0x,6.1x,,14.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
