Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Docebo Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Docebo Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Docebo Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Docebo Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.2796,#DIV/0!,#DIV/0!,-0.2400,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"-3,884.131",NA,NA,NM,NM,NA,NA,NA,,NA,1,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Docebo Inc,0.73,0.73,0.29,-0.26,0.73,1.1881,-0.4270,1.8023,-0.8671,-0.5400,1.6478,-0.6478,-2.5437,46.68,15.09,-2.45,-0.19,#DIV/0!,4.65,1.80,-5.60,"-8,032.68",NA,NA,NM,NM,NA,NA,NA,,NA,2,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Docebo Inc,0.47,0.47,0.15,-0.09,0.47,0.6719,-0.4163,2.0356,-0.8760,-0.7100,2.2614,-1.2614,-1.7928,19.51,3.90,-3.75,-0.08,#DIV/0!,4.45,2.04,-2.04,"-10,934.855",NA,NA,NM,NM,NA,NA,NA,,-19.8,2,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Docebo Inc,2.07,2.07,1.62,-0.16,2.07,-0.3797,-0.2875,0.6490,-0.1866,-0.6300,0.5086,0.4914,1.0350,14.01,0.29,-3.71,-0.14,#DIV/0!,4.29,0.65,1.36,"-11,379.966",-46.1x,-42.8x,38.6x,-44.2x,10.1x,-31.6x,-20.0x,,3.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Docebo Inc,5.24,5.24,4.80,0.10,5.24,-0.0400,-0.1274,0.2475,-0.0315,-0.3500,0.2122,0.7878,0.2693,64.64,3.15,-10.01,0.09,#DIV/0!,4.67,0.25,0.32,"-6,854.527",-305.9x,-292.8x,-289.0x,42.3x,36.5x,-294.0x,47.1x,,11.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Docebo Inc,3.63,3.63,3.11,-0.05,3.63,-0.0713,-0.1305,0.3886,-0.0507,-0.5200,0.2892,0.7108,0.4068,234.60,2.31,-6.50,-0.04,#DIV/0!,4.12,0.39,0.57,"-15,085.843",-198.2x,-177.7x,495.7x,10.2x,21.3x,-135.2x,11.5x,,9.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Docebo Inc,3.12,3.12,2.56,0.03,3.12,0.0365,0.0491,0.5038,0.0247,0.2900,0.3224,0.6776,0.4758,1.20,1.07,-16.33,0.03,#DIV/0!,4.39,0.50,0.80,"-7,582.12",-190.2x,-153.8x,-622.6x,5.5x,7.5x,182.2x,6.7x,,8.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
