Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Dye & Durham Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Dye & Durham Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Dye & Durham Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Dye & Durham Ltd,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4173,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,-20.93,1.87,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"1,789.12",NA,NA,NA,NA,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Dye & Durham Ltd,0.62,0.62,0.19,0.17,0.62,0.1447,0.1272,0.2137,0.0272,0.0930,0.8122,0.1878,4.3245,-2.71,0.42,8.69,0.03,#DIV/0!,6.97,0.21,-3.63,"8,235",NA,NA,NA,NA,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Dye & Durham Ltd,0.33,0.33,0.00,0.64,0.33,-0.1270,0.0380,0.3838,0.0146,0.0550,1.1148,-0.1148,-9.7095,-1.57,0.89,5.19,0.11,#DIV/0!,9.48,0.38,-2.88,"18,208",NA,NA,NA,NA,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Dye & Durham Ltd,0.70,0.70,0.14,0.40,0.70,-0.1174,0.0162,0.2712,0.0044,0.0350,1.0374,-0.0374,-27.7217,-1.13,0.11,7.57,0.06,#DIV/0!,3.88,0.27,-5.83,"22,141",NA,NA,NA,NA,NA,NA,NA,,2.5,4,1,,,,,,,,,,,,,,,,,,,,,,,
2020,Dye & Durham Ltd,0.57,0.57,0.08,1.05,0.57,0.1632,-0.1715,0.3924,-0.0673,-0.5500,1.4125,-0.4125,-3.4243,-0.39,0.20,8.33,0.14,#DIV/0!,5.53,0.39,-4.80,"28,304",0.2x,0.2x,0.2x,0.0x,0.1x,-0.9x,-0.1x,,-4.7,4,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Dye & Durham Ltd,4.54,4.54,4.03,0.74,4.54,-0.0544,-0.1955,0.1341,-0.0262,-0.7200,0.5181,0.4819,1.0753,-0.04,0.15,10.73,0.10,#DIV/0!,4.44,0.13,0.55,"75,282",71.8x,178.7x,51.7x,2.5x,24.0x,-64.0x,4.4x,0.075,9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Dye & Durham Ltd,1.90,1.90,1.39,1.15,1.90,0.0100,0.0161,0.2110,0.0035,0.1100,0.6608,0.3392,1.9478,-1.23,0.20,7.64,0.12,#DIV/0!,6.75,0.21,3.28,"194,668",12.9x,23.4x,13.0x,1.3x,5.8x,86.7x,1.9x,0.075,7.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
