Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Enghouse Systems Ltd,1.68,1.68,0.89,0.41,1.68,0.1333,0.1353,0.6472,0.0876,0.4700,0.3430,0.6570,0.5220,81.46,#VALUE!,2.73,0.34,#DIV/0!,4.94,0.65,3.36,"34,959",19.8x,23.9x,21.6x,3.7x,3.7x,31.4x,4.3x,0.08,11.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Enghouse Systems Ltd,1.52,1.52,0.75,0.49,1.52,0.1425,0.1349,0.6712,0.0906,0.5700,0.3646,0.6354,0.5739,421.24,#VALUE!,2.66,0.40,#DIV/0!,4.05,0.67,4.37,"45,000",21.1x,25.9x,23.2x,4.4x,4.3x,33.4x,4.9x,0.2,11.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Enghouse Systems Ltd,1.53,1.53,0.86,0.46,1.53,0.1292,0.1125,0.7428,0.0836,0.6000,0.3528,0.6472,0.5451,-156.03,#VALUE!,2.29,0.38,#DIV/0!,4.60,0.74,4.79,"57,820",28.9x,35.2x,34.8x,6.4x,5.6x,56.1x,6.8x,0.24,11.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Enghouse Systems Ltd,1.40,1.40,0.65,0.49,1.40,0.1760,0.1535,0.7347,0.1128,0.8800,0.3594,0.6406,0.5610,"1,209.36",#VALUE!,2.17,0.40,#DIV/0!,4.19,0.73,6.36,"69,394",20.1x,24.8x,25.8x,5.0x,4.1x,33.3x,5.4x,0.28,12,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Enghouse Systems Ltd,1.67,1.67,0.96,0.66,1.67,0.1659,0.1563,0.7045,0.1101,0.9400,0.3366,0.6634,0.5073,912.75,52.03,2.03,0.54,#DIV/0!,4.53,0.70,3.84,"76,420",17.8x,21.7x,22.6x,4.8x,4.3x,28.3x,5.2x,0.32,12.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Enghouse Systems Ltd,2.24,2.24,1.58,0.83,2.24,0.1649,0.1684,0.6923,0.1166,1.0600,0.2930,0.7070,0.4144,295.71,108.09,1.60,0.68,#DIV/0!,5.52,0.69,2.34,"90,450",21.0x,25.2x,21.6x,5.3x,5.3x,34.8x,5.9x,0.36,14.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Enghouse Systems Ltd,1.53,1.53,0.90,0.51,1.53,0.1762,0.1836,0.6533,0.1200,1.3000,0.3192,0.6808,0.4689,47.73,293.77,1.92,0.43,#DIV/0!,4.54,0.65,4.52,"98,232",21.0x,24.9x,18.6x,5.1x,5.4x,31.9x,5.5x,0.44,13.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Enghouse Systems Ltd,1.73,1.73,1.18,0.81,1.73,0.1986,0.1957,0.6597,0.1291,1.7900,0.3501,0.6499,0.5386,-180.64,15.25,1.89,0.63,#DIV/0!,5.55,0.66,3.34,"141,230",26.8x,31.1x,25.3x,6.7x,7.0x,39.0x,7.6x,0.54,12.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Enghouse Systems Ltd,1.74,1.74,1.12,0.68,1.74,0.2043,0.1986,0.6925,0.1375,1.6700,0.3266,0.6734,0.4849,-119.30,11.24,1.64,0.54,#DIV/0!,5.23,0.69,3.62,"134,133",18.6x,24.2x,25.7x,6.0x,5.9x,32.4x,6.8x,2.14,13.3,9,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Enghouse Systems Ltd,2.04,2.04,1.37,0.63,2.04,0.1860,0.2210,0.6065,0.1340,1.7000,0.2792,0.7208,0.3873,260.52,13.12,1.77,0.52,#DIV/0!,4.59,0.61,2.51,"110,905",12.6x,14.9x,17.1x,3.0x,3.4x,19.1x,3.6x,0.74,13.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
