Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Evertz Technologies Limited,8.92,6.41,4.69,2.02,8.92,0.1576,0.2042,0.6798,0.1400,0.8800,0.1194,0.8806,0.1356,47.71,88.03,0.60,1.61,1.20,5.89,0.68,0.90,"92,140",9.3x,10.2x,NA,2.2x,2.9x,16.5x,2.8x,,19.7,9,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Evertz Technologies Limited,5.80,3.44,1.79,0.62,5.80,0.1877,0.1939,0.8112,0.1583,0.8500,0.1616,0.8384,0.1928,51.90,26.36,0.74,0.55,1.04,3.84,0.81,1.19,"87,164",14.1x,16.2x,35.3x,3.3x,3.6x,21.4x,3.7x,0,16.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Evertz Technologies Limited,5.62,3.20,1.58,0.85,5.62,0.1835,0.1801,0.8532,0.1558,0.8800,0.1626,0.8374,0.1942,150.56,233.29,0.71,0.78,1.02,3.91,0.85,1.23,"98,280",11.8x,13.3x,47.0x,3.1x,3.1x,17.7x,3.4x,0.5,16.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Evertz Technologies Limited,5.36,3.20,1.71,1.26,5.36,0.1899,0.1840,0.8511,0.1581,0.9400,0.1753,0.8247,0.2125,405.70,"2,681.79",0.75,1.16,1.05,3.96,0.85,1.21,"104,432",11.0x,12.3x,14.2x,3.0x,3.0x,17.2x,3.4x,0.72,16.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Evertz Technologies Limited,4.16,2.03,0.65,0.77,4.16,0.2149,0.1799,0.9363,0.1699,0.9200,0.2163,0.7837,0.2760,85.70,69.37,0.95,0.73,0.93,3.55,0.94,1.45,"93,678",13.2x,14.8x,19.9x,3.9x,3.3x,22.6x,4.2x,0.72,14.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Evertz Technologies Limited,3.96,2.08,1.05,1.10,3.96,0.1602,0.1318,0.9566,0.1272,0.7000,0.2133,0.7867,0.2712,222.82,575.31,1.05,1.10,1.07,4.78,0.96,1.52,"85,916",12.3x,13.8x,15.9x,3.7x,3.0x,20.7x,4.1x,0.72,14.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Evertz Technologies Limited,3.55,2.00,0.94,0.80,3.55,0.2191,0.1756,0.9506,0.1682,1.0200,0.2383,0.7617,0.3129,162.69,292.95,1.00,0.80,1.11,4.37,0.95,1.57,"111,306",12.6x,14.2x,19.3x,3.4x,2.8x,19.2x,3.7x,0.72,13.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Evertz Technologies Limited,2.85,1.51,0.62,0.90,2.85,0.2307,0.1571,0.9840,0.1559,0.9000,0.3296,0.6704,0.4917,-120.74,21.11,1.46,0.75,1.16,4.78,0.98,1.95,"100,186",10.5x,11.7x,16.2x,3.4x,2.5x,16.2x,3.9x,0.72,11.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Evertz Technologies Limited,2.61,1.46,0.82,0.76,2.61,0.1416,0.1218,0.7589,0.0929,0.5500,0.3473,0.6527,0.5320,-55.64,17.77,1.84,0.64,0.94,4.55,0.76,1.60,"85,321",13.7x,16.0x,11.1x,3.4x,3.2x,24.7x,3.9x,0.72,10.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Evertz Technologies Limited,1.97,0.89,0.21,0.42,1.97,0.3071,0.1627,1.0476,0.1726,0.9400,0.4450,0.5550,0.8018,-46.84,10.63,1.74,0.37,1.05,4.27,1.05,2.77,"107,396",10.6x,12.1x,15.0x,4.1x,2.6x,17.1x,4.7x,0.72,9.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
