Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Kinaxis Inc,0.72,0.72,0.35,0.49,0.72,0.1321,-0.1598,1.4664,-0.2344,-0.6200,2.7742,-1.7742,-1.5636,-157.32,701.04,8.28,0.17,#DIV/0!,5.02,1.47,-5.46,"14,754.056",NA,NA,NM,NM,NA,NA,NA,,-3.9,2,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Kinaxis Inc,1.82,1.82,1.33,0.38,1.82,-0.0047,-0.0032,0.7681,-0.0024,-0.0130,0.4887,0.5113,0.9557,-10.02,0.53,3.36,0.36,#DIV/0!,4.27,0.77,2.00,"15,362.957",22.4x,23.9x,10.2x,7.2x,4.8x,-229.9x,8.4x,,6.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Kinaxis Inc,2.56,2.56,2.10,0.96,2.56,0.1933,0.1389,0.7125,0.0990,0.7300,0.4879,0.5121,0.9526,177.86,3.64,2.46,0.72,#DIV/0!,6.12,0.71,1.24,"35,233.667",32.8x,35.0x,62.4x,11.8x,8.6x,68.7x,13.2x,,8.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Kinaxis Inc,2.39,2.39,1.94,0.47,2.39,0.1225,0.0927,0.6890,0.0638,0.5900,0.4788,0.5212,0.9187,57.64,1.63,3.98,0.39,#DIV/0!,5.76,0.69,1.27,"27,171.963",48.3x,53.5x,183.8x,12.5x,9.5x,112.0x,13.8x,,8.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Kinaxis Inc,2.50,2.50,1.32,0.43,2.50,0.1633,0.1529,0.6268,0.0958,1.0100,0.4133,0.5867,0.7044,23.54,2.08,2.91,0.38,#DIV/0!,4.57,0.63,1.14,"37,926.908",54.3x,61.8x,54.0x,12.0x,10.9x,93.6x,13.3x,,9.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Kinaxis Inc,2.45,2.45,1.23,0.27,2.45,0.0780,0.0956,0.5062,0.0484,0.7600,0.3798,0.6202,0.6123,11.42,79.76,4.16,0.25,#DIV/0!,2.39,0.51,1.01,"37,100.156",33.7x,43.9x,-214.6x,5.8x,7.5x,74.1x,7.1x,,9.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Kinaxis Inc,2.81,2.81,1.71,0.34,2.81,0.1014,0.1218,0.5461,0.0665,1.1600,0.3440,0.6560,0.5243,10.61,100.82,2.97,0.30,#DIV/0!,2.42,0.55,0.99,"52,677.142",56.1x,75.4x,140.5x,8.1x,10.5x,109.6x,9.4x,,10.1,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Kinaxis Inc,2.32,2.32,1.39,0.45,2.32,0.0487,0.0612,0.5233,0.0320,0.6500,0.3423,0.6577,0.5205,23.12,20.85,4.60,0.41,#DIV/0!,2.76,0.52,1.28,"40,525.305",75.9x,97.3x,111.7x,12.4x,16.0x,165.1x,13.9x,,9.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Kinaxis Inc,2.27,2.27,1.39,0.34,2.27,-0.0036,-0.0046,0.4819,-0.0022,-0.0540,0.3826,0.6174,0.6197,-5.16,9.69,34.18,0.25,#DIV/0!,2.90,0.48,1.35,"7,363.358",264.7x,"3,162.0x","2,743.4x",10.1x,15.4x,"22,852.5x",12.4x,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Kinaxis Inc,2.09,2.09,0.92,0.13,2.09,0.0500,0.0547,0.5659,0.0310,0.9800,0.3808,0.6192,0.6149,24.39,4.46,5.51,0.10,#DIV/0!,2.41,0.57,1.77,"60,690.809",82.2x,123.6x,-204.8x,8.0x,10.0x,191.9x,9.6x,,8.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
