Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Lightspeed Commerce Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Lightspeed Commerce Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Lightspeed Commerce Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Lightspeed Commerce Inc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.6625,#DIV/0!,#DIV/0!,-2.3700,#DIV/0!,#DIV/0!,#DIV/0!,756.62,8.42,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"-29,462.226",NA,NA,NM,NM,NA,NA,NA,,NA,1,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Lightspeed Commerce Inc,0.90,0.89,0.63,-0.45,0.90,0.3399,-1.3706,0.7685,-1.0533,-2.6800,4.0991,-3.0991,-1.3227,-743.60,6.88,-7.91,-0.05,56.40,17.60,0.77,-17.34,"-38,233.188",NA,NA,NM,NM,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Lightspeed Commerce Inc,0.99,0.98,0.72,-0.29,0.99,0.3622,-1.6850,0.8915,-1.5022,-4.2600,5.1478,-4.1478,-1.2411,"3,150.27",5.76,-17.17,-0.03,73.44,13.82,0.89,-115.31,"-24,752.498",NA,NA,NM,NM,NA,NA,NA,,-24.6,3,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Lightspeed Commerce Inc,4.56,4.55,4.27,-0.16,4.56,-0.9332,-2.3696,0.3028,-0.7174,-7.3900,0.2312,0.7688,0.3007,"-1,184.72",5.13,-2.95,-0.13,87.63,16.03,0.30,0.45,"-26,778.917",-87.8x,-80.2x,191.2x,-47.5x,22.2x,-13.0x,-3.8x,,4.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Lightspeed Commerce Inc,3.29,3.28,2.98,-0.40,3.29,-0.1556,-0.4437,0.2522,-0.1119,-0.8800,0.2807,0.7193,0.3902,-33.07,17.46,-3.25,-0.21,42.56,24.91,0.25,0.74,"-58,201.545",-32.1x,-28.6x,-74.7x,5.5x,10.8x,-9.5x,6.5x,,2.5,2,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Lightspeed Commerce Inc,7.56,7.55,7.12,-0.82,7.56,-0.0643,-0.5605,0.1053,-0.0590,-1.4800,0.0812,0.9188,0.0884,367.47,19.78,-1.94,-0.54,60.43,18.54,0.11,0.30,"-110,816.333",-110.6x,-87.7x,-206.0x,5.5x,44.9x,-80.0x,5.9x,,17.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Lightspeed Commerce Inc,6.60,6.56,6.04,-0.55,6.60,-0.0849,-0.5260,0.1515,-0.0797,-2.5500,0.0610,0.9390,0.0649,-106.54,22.00,-1.13,-0.40,36.76,27.62,0.15,0.62,"-243,820.955",-28.4x,-18.0x,-28.5x,1.0x,7.5x,-21.0x,1.3x,,20.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
