Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Open Text Corp,1.36,1.36,0.89,0.60,1.36,0.1111,0.1089,0.5135,0.0559,0.6700,0.4963,0.5037,0.9853,-12.21,6.84,4.18,0.24,#DIV/0!,7.79,0.51,7.21,"331,902.668",13.8x,19.6x,15.2x,2.2x,3.1x,35.0x,3.1x,0,8.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Open Text Corp,1.27,1.27,0.67,0.65,1.27,0.1328,0.1343,0.4166,0.0559,0.9700,0.5789,0.4211,1.3747,-24.24,7.22,5.04,0.18,#DIV/0!,5.55,0.42,9.31,"477,936.631",18.0x,24.7x,30.4x,2.3x,4.6x,33.6x,3.7x,0.356,8.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Open Text Corp,1.71,1.71,1.12,0.84,1.71,0.1281,0.1265,0.4254,0.0538,1.2000,0.5797,0.4203,1.3791,-6.70,0.91,4.85,0.21,#DIV/0!,6.52,0.43,4.16,"649,661.602",10.9x,15.3x,16.8x,1.7x,3.2x,19.5x,2.8x,0.3743,9.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Open Text Corp,2.49,2.49,1.91,0.78,2.49,0.1437,0.1559,0.3539,0.0552,1.5200,0.6160,0.3840,1.6042,-4.94,6.43,5.56,0.17,#DIV/0!,6.38,0.35,1.82,"741,846.191",14.0x,20.0x,20.6x,2.2x,4.3x,26.8x,3.7x,0.5971,9.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Open Text Corp,0.89,0.89,0.39,0.39,0.89,0.2903,0.4477,0.3063,0.1371,5.2400,0.5277,0.4723,1.1171,-3.21,2.58,6.23,0.11,#DIV/0!,5.14,0.31,-18.54,"821,454.965",17.6x,26.6x,17.5x,1.7x,5.0x,7.8x,2.4x,0.6847,7.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Open Text Corp,1.33,1.33,0.69,0.71,1.33,0.0652,0.0860,0.3626,0.0312,1.2000,0.5213,0.4787,1.0889,-3.95,0.55,5.03,0.17,#DIV/0!,5.77,0.36,8.45,"1,058,613.695",14.9x,22.7x,28.2x,1.8x,4.2x,41.4x,2.5x,0.7982,8.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Open Text Corp,1.54,1.54,0.93,0.86,1.54,0.0735,0.0995,0.3616,0.0360,1.3900,0.5104,0.4896,1.0424,-4.40,6.28,4.56,0.22,#DIV/0!,5.92,0.36,5.25,"1,163,742.64",14.6x,21.5x,20.4x,2.0x,4.5x,40.3x,2.9x,0.9147,9.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Open Text Corp,1.25,1.25,0.89,0.50,1.25,0.0585,0.0753,0.3038,0.0229,1.1700,0.6085,0.3915,1.5544,-3.51,0.52,6.84,0.15,#DIV/0!,6.27,0.30,6.45,"1,236,639.986",16.1x,24.3x,18.6x,1.7x,4.8x,41.1x,2.9x,0.9481,7.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Open Text Corp,1.62,1.62,1.18,0.64,1.62,0.0758,0.0917,0.3524,0.0324,1.4100,0.5734,0.4266,1.3441,-5.59,1.17,5.29,0.16,#DIV/0!,7.30,0.35,4.03,"1,292,197.624",15.4x,22.0x,17.5x,2.1x,4.8x,88.6x,3.4x,0.9958,8.8,8,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Open Text Corp,1.56,1.56,1.15,0.67,1.56,0.0985,0.1137,0.3432,0.0390,1.8800,0.6039,0.3961,1.5244,-4.51,0.98,6.18,0.16,#DIV/0!,7.72,0.34,4.28,"1,281,146.111",12.8x,18.3x,17.0x,1.5x,3.7x,21.3x,2.5x,1.1374,8.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
