Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Quebecor Inc Class B,1.06,0.92,0.35,0.67,1.06,-0.2414,-0.0791,0.4045,-0.0303,-0.5700,0.8674,0.1326,6.5426,-0.74,0.83,5.99,0.12,8.80,7.41,0.40,48.63,"1,305,400",6.2x,11.1x,13.6x,1.3x,2.1x,-12.0x,2.9x,0.025,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Quebecor Inc Class B,1.06,0.97,0.28,0.73,1.06,-0.0283,-0.0083,0.3974,-0.0002,0.1200,0.8829,0.1171,7.5380,-1.44,0.87,5.99,0.13,11.15,9.07,0.40,40.00,"1,337,100",7.5x,13.4x,21.4x,1.4x,3.0x,15.6x,6.7x,0.05,4.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Quebecor Inc Class B,0.71,0.59,0.02,0.93,0.71,0.2328,0.0390,0.4195,0.0201,0.6700,0.9297,0.0703,13.2268,-1.92,1.08,6.35,0.12,12.74,8.99,0.42,-11.86,"1,357,700",8.0x,14.9x,34.2x,1.5x,2.8x,32.6x,10.7x,0.07,3.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Quebecor Inc Class B,0.65,0.56,0.02,0.91,0.65,0.2298,0.0485,0.4337,0.0269,0.8000,0.9085,0.0915,9.9328,-2.15,2.76,6.00,0.13,16.88,8.62,0.43,-9.34,"1,401,400",8.0x,13.9x,15.6x,1.6x,2.8x,122.3x,14.6x,0.09,4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Quebecor Inc Class B,0.92,0.87,0.42,0.58,0.92,0.2771,0.0947,0.4141,0.0527,1.5500,0.8586,0.1414,6.0702,-3.14,1.04,5.63,0.14,16.34,6.66,0.41,-25.90,"1,517,900",7.5x,12.4x,19.8x,1.6x,2.7x,13.0x,7.8x,0.11,4.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Quebecor Inc Class B,0.79,0.72,0.01,1.01,0.79,0.7101,0.0966,0.4329,0.0457,1.6700,0.9411,0.0589,15.9877,-2.83,2.62,5.55,0.16,15.63,6.83,0.43,-14.32,"1,636,700",8.9x,14.7x,11.3x,2.2x,3.4x,21.1x,-23.7x,0.22,3.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Quebecor Inc Class B,0.87,0.78,0.01,0.96,0.87,0.6089,0.1520,0.4415,0.0677,2.1700,0.8898,0.1102,8.0718,-3.37,0.84,4.71,0.14,14.15,6.91,0.44,-26.60,"1,836,800",8.8x,13.8x,49.8x,2.0x,3.5x,16.0x,9.3x,0.45,4.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Quebecor Inc Class B,0.95,0.86,0.10,1.09,0.95,0.5001,0.1406,0.4378,0.0626,2.2800,0.8769,0.1231,7.1226,-3.46,2.93,5.04,0.17,15.35,6.81,0.44,-61.33,"1,714,200",7.5x,12.5x,13.1x,1.9x,3.2x,14.6x,7.5x,0.8,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Quebecor Inc Class B,1.03,0.94,0.04,0.80,1.03,0.4195,0.1270,0.4232,0.0547,2.3800,0.8719,0.1281,6.8061,-3.39,0.61,5.35,0.13,13.25,6.12,0.42,90.37,"1,753,400",7.2x,10.9x,15.0x,1.6x,2.9x,11.9x,5.5x,1.1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Quebecor Inc Class B,0.71,0.63,0.00,0.50,0.71,0.4042,0.1323,0.4265,0.0562,2.5500,0.8604,0.1396,6.1623,-3.53,2.04,5.36,0.14,9.28,6.14,0.43,-6.25,"1,704,200",8.7x,12.9x,24.6x,1.8x,3.3x,13.5x,6.0x,1.2,4.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
