Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Rogers Communications Inc,0.94,0.88,0.50,0.87,0.94,0.3575,0.1314,0.5384,0.0707,3.2400,0.8022,0.1978,4.0548,-4.32,3.84,3.87,0.21,28.25,11.07,0.54,-44.58,"4,886,000",7.2x,11.5x,19.4x,2.2x,2.7x,13.3x,5.5x,0.87,5.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Rogers Communications Inc,0.48,0.43,0.04,0.75,0.48,0.2447,0.1044,0.4845,0.0506,2.6000,0.7933,0.2067,3.8389,-3.52,1.13,4.26,0.18,31.35,10.63,0.48,-4.99,"4,934,000",7.5x,13.1x,17.8x,1.9x,2.9x,17.1x,4.4x,1.83,4.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Rogers Communications Inc,0.52,0.46,0.00,0.75,0.52,0.2381,0.1000,0.4596,0.0460,2.6100,0.8069,0.1931,4.1790,-3.59,5.33,4.74,0.16,26.53,10.79,0.46,-5.60,"4,966,000",7.6x,14.0x,26.9x,1.8x,2.8x,17.9x,4.3x,1.92,4.4,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Rogers Communications Inc,0.50,0.44,0.17,0.77,0.50,0.1585,0.0609,0.4835,0.0295,1.6200,0.8141,0.1859,4.3790,-2.65,3.19,4.59,0.17,27.53,9.82,0.48,-5.39,"5,022,000",7.9x,14.8x,21.7x,1.9x,2.9x,24.2x,4.6x,1.92,4.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Rogers Communications Inc,0.60,0.54,0.13,0.57,0.60,0.2461,0.1284,0.4713,0.0605,3.5800,0.7541,0.2459,3.0675,-4.53,2.25,4.19,0.17,20.38,6.53,0.47,-5.21,"5,490,000",8.5x,14.4x,24.9x,2.2x,3.2x,24.7x,5.2x,1.92,4.8,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Rogers Communications Inc,0.70,0.63,0.06,0.62,0.70,0.2525,0.1364,0.4523,0.0617,4.0000,0.7556,0.2444,3.0922,-5.29,2.90,4.23,0.17,19.56,5.98,0.45,-7.17,"5,969,000",8.3x,13.1x,83.7x,2.2x,3.3x,17.5x,4.6x,1.92,5.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Rogers Communications Inc,0.86,0.78,0.08,0.76,0.86,0.2170,0.1355,0.4072,0.0552,3.9900,0.7456,0.2544,2.9315,-4.66,4.92,4.58,0.16,19.26,4.18,0.41,-17.80,"6,026,000",7.9x,12.7x,32.3x,1.8x,3.2x,15.9x,3.4x,2,5.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Rogers Communications Inc,1.05,0.98,0.38,0.66,1.05,0.1663,0.1144,0.3582,0.0410,3.1500,0.7536,0.2464,3.0587,-3.74,4.30,5.29,0.15,17.01,4.11,0.36,40.57,"5,536,000",8.0x,14.0x,19.0x,1.6x,3.1x,18.7x,3.0x,2,5.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Rogers Communications Inc,0.68,0.61,0.08,0.48,0.68,0.1479,0.1063,0.3492,0.0371,3.0900,0.7490,0.2510,2.9843,-3.80,4.04,5.59,0.13,16.39,3.70,0.35,-5.25,"5,627,000",8.1x,14.0x,23.9x,1.6x,3.2x,19.1x,2.9x,2,4.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Rogers Communications Inc,2.02,1.97,0.05,0.47,2.02,0.1665,0.1091,0.2766,0.0302,3.3300,0.8187,0.1813,4.5148,-3.04,3.12,7.44,0.10,20.55,3.58,0.28,1.58,"6,120,000",10.9x,18.1x,-6.0x,1.5x,4.3x,20.4x,3.3x,2,6.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
