Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Shopify Inc,8.76,8.76,8.32,0.14,8.76,-0.0567,-0.0963,0.5246,-0.0505,-0.0140,0.1086,0.8914,0.1219,-116.17,33.24,-3.73,0.13,#DIV/0!,44.47,0.52,0.64,"-2,962.922",NA,NA,NM,NM,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Shopify Inc,3.46,3.46,2.12,-0.04,3.46,-0.3294,-0.2124,1.1032,-0.2344,-0.0660,0.2885,0.7115,0.4054,-392.42,14.05,-1.56,-0.03,#DIV/0!,68.11,1.10,2.16,"-20,401.719",NA,NA,NM,NM,NA,NA,NA,,6.7,1,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Shopify Inc,5.44,5.44,2.96,0.42,5.44,-0.0962,-0.0916,0.8421,-0.0771,-0.0420,0.1986,0.8014,0.2478,-94.95,78.78,-4.02,0.33,#DIV/0!,73.93,0.84,1.24,"-16,692.772",-176.9x,-113.2x,-205.5x,9.0x,10.5x,-114.4x,10.0x,,10.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Shopify Inc,6.36,6.36,1.26,0.21,6.36,-0.0861,-0.0908,0.7936,-0.0721,-0.0570,0.1632,0.8368,0.1951,-24.02,9.13,-3.25,0.18,#DIV/0!,76.17,0.79,1.09,"-33,049.486",-141.3x,-99.3x,-136.5x,8.3x,10.4x,-116.3x,9.3x,,12.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Shopify Inc,10.82,10.82,1.50,0.08,10.82,-0.0400,-0.0594,0.6046,-0.0359,-0.0520,0.1010,0.8990,0.1123,-6.09,1.01,-3.93,0.07,#DIV/0!,45.84,0.60,0.72,"-35,970.72",-271.8x,-175.0x,-127.5x,9.3x,15.8x,-219.9x,10.2x,,17.6,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Shopify Inc,15.35,15.35,2.96,0.07,15.35,-0.0309,-0.0601,0.4760,-0.0286,-0.0830,0.0727,0.9273,0.0784,-3.19,0.32,-2.39,0.06,#DIV/0!,45.01,0.48,0.54,"-93,774.126",-219.3x,-154.6x,-136.8x,8.2x,14.4x,-231.4x,9.1x,,22,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Shopify Inc,8.67,8.67,2.05,0.22,8.67,-0.0414,-0.0791,0.4523,-0.0358,-0.1400,0.1358,0.8642,0.1571,-5.08,3.75,-5.40,0.15,#DIV/0!,38.22,0.45,0.65,"-113,995.736",-550.8x,-418.6x,-468.8x,14.9x,30.7x,-362.5x,16.3x,,14.6,2,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Shopify Inc,15.69,15.69,6.17,0.97,15.69,0.0499,0.1091,0.3774,0.0412,0.3400,0.1755,0.8245,0.2128,15.75,29.62,5.81,0.31,#DIV/0!,46.12,0.38,0.45,"298,579.715","1,581.4x","4,944.4x","-1,195.9x",18.9x,54.3x,707.0x,22.5x,,14.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Shopify Inc,12.15,12.15,3.56,0.76,12.15,0.2618,0.6320,0.3457,0.2185,2.9600,0.1654,0.8346,0.1982,263.74,45.16,4.94,0.24,#DIV/0!,36.27,0.35,0.59,"565,008.443",314.0x,349.8x,520.3x,13.4x,38.5x,50.7x,15.2x,,13.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Shopify Inc,7.07,7.07,1.93,-0.16,7.07,-0.4200,-0.6179,0.5206,-0.3217,-3.7000,0.2341,0.7659,0.3057,-48.89,1.80,-6.54,-0.05,#DIV/0!,27.63,0.52,1.08,"-521,319.492",-163.6x,-132.5x,-150.6x,6.7x,11.3x,-19.8x,8.3x,,10.1,1,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
