Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Softchoice Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Softchoice Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Softchoice Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Softchoice Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Softchoice Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Softchoice Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.0112,#DIV/0!,#DIV/0!,-0.3700,#DIV/0!,#DIV/0!,#DIV/0!,-0.51,1.20,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"50,557.494",NA,NA,NA,NA,NA,NA,NA,,NA,3,0,,,,,,,,,,,,,,,,,,,,,,,
2019,Softchoice Corp,0.97,0.97,0.00,0.08,0.97,-0.3019,-0.0030,1.5122,0.0029,-0.0930,0.9850,0.0150,65.8304,-1.72,1.04,16.90,0.05,450.18,3.52,1.51,-93.06,"47,746.776",NA,NA,NA,NA,NA,NA,NA,,NA,5,0,,,,,,,,,,,,,,,,,,,,,,,
2020,Softchoice Corp,0.95,0.95,0.00,-0.03,0.95,0.0173,-0.0006,1.3890,0.0035,-0.0130,1.0456,-0.0456,-22.9287,-1.18,0.36,21.98,-0.02,552.60,2.65,1.39,-46.65,"36,457.378",NA,NA,NA,NA,NA,NA,NA,,2.4,2,1,,,,,,,,,,,,,,,,,,,,,,,
2021,Softchoice Corp,0.87,0.87,0.01,0.11,0.87,-0.1976,-0.0127,1.4082,-0.0155,-0.2700,0.9092,0.0908,10.0130,-0.21,0.44,34.71,0.09,"1,449.61",2.39,1.41,-14.33,"21,240.31",57.6x,159.5x,22.7x,6.5x,1.3x,-140.3x,21.9x,0.28,1.7,5,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Softchoice Corp,0.91,0.90,0.00,0.09,0.91,0.5428,0.0235,1.5085,0.0354,0.5000,0.9348,0.0652,14.3418,-4.93,3.04,8.62,0.07,"1,324.48",2.60,1.51,-21.43,"90,370.747",12.1x,15.0x,29.3x,5.5x,0.9x,32.2x,17.5x,0.36,2.5,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
