Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Telus Corp,0.71,0.61,0.10,0.98,0.71,0.1614,0.1141,0.5256,0.0600,1.0100,0.6284,0.3716,1.6907,-5.78,0.87,3.69,0.24,22.52,8.75,0.53,-11.69,"3,673,000",8.3x,13.7x,23.3x,2.1x,2.7x,18.0x,3.1x,0.36,5.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Telus Corp,0.62,0.53,0.02,0.97,0.62,0.1912,0.1195,0.5137,0.0614,1.1600,0.6789,0.3211,2.1147,-5.24,0.58,4.04,0.22,24.11,9.25,0.51,-9.08,"3,905,000",9.1x,14.6x,31.0x,2.0x,3.0x,18.2x,3.1x,0.8,5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Telus Corp,0.55,0.46,0.05,0.83,0.55,0.1801,0.1112,0.4707,0.0523,1.1500,0.7095,0.2905,2.4419,-5.31,0.53,4.63,0.19,22.34,9.75,0.47,-6.39,"4,050,000",8.5x,13.5x,40.8x,1.8x,2.8x,16.0x,3.1x,0.88,4.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Telus Corp,0.50,0.44,0.09,0.65,0.50,0.1541,0.0961,0.4589,0.0446,1.0300,0.7138,0.2862,2.4941,-4.34,0.60,4.68,0.16,25.46,9.83,0.46,-5.14,"4,228,000",8.9x,14.5x,28.0x,1.8x,3.0x,18.0x,3.1x,0.96,4.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Telus Corp,0.77,0.69,0.10,0.78,0.77,0.1648,0.1172,0.4285,0.0508,1.3100,0.6954,0.3046,2.2833,-4.79,0.65,4.85,0.18,22.07,6.43,0.43,-11.34,"4,450,000",9.5x,15.5x,70.5x,1.9x,3.2x,22.0x,3.3x,1.01,5.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Telus Corp,0.79,0.72,0.09,0.84,0.79,0.1547,0.1135,0.4264,0.0491,1.3400,0.6872,0.3128,2.1967,-4.55,0.68,4.92,0.18,23.84,6.28,0.43,-14.05,"4,616,000",8.8x,14.2x,-591.7x,1.7x,2.9x,17.0x,2.7x,1.09,5.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Telus Corp,0.78,0.70,0.10,0.70,0.78,0.1638,0.1197,0.3841,0.0468,1.4500,0.7194,0.2806,2.5637,-4.22,0.66,5.61,0.14,20.53,5.98,0.38,-11.95,"4,873,000",9.5x,15.6x,35.0x,1.7x,3.3x,17.5x,2.8x,1.165,5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Telus Corp,0.79,0.72,0.14,0.77,0.79,0.0960,0.0787,0.3545,0.0291,0.9500,0.7096,0.2904,2.4431,-3.38,1.00,6.54,0.15,23.90,6.02,0.35,-12.49,"4,696,000",10.6x,18.9x,31.8x,1.6x,3.4x,24.7x,2.7x,1.2448,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Telus Corp,0.61,0.55,0.09,0.53,0.61,0.1031,0.0983,0.3509,0.0354,1.2300,0.6653,0.3347,1.9879,-4.00,0.77,6.39,0.14,24.13,5.85,0.35,-5.20,"4,993,000",12.0x,21.7x,34.8x,1.6x,3.7x,31.9x,2.7x,1.3096,4.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Telus Corp,0.74,0.67,0.12,0.58,0.74,0.0915,0.0883,0.3385,0.0318,1.1600,0.6733,0.3267,2.0607,-3.77,0.54,6.74,0.13,21.93,5.30,0.34,-8.36,"5,400,000",12.3x,21.6x,109.6x,1.6x,3.6x,25.6x,2.5x,1.4044,4.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
