Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Algonquin Power & Utilities Corp,1.21,1.07,0.06,0.40,1.21,0.0065,0.0140,0.1942,0.0027,0.2300,0.5783,0.4217,1.3715,-2.27,0.13,9.93,0.05,13.49,4.20,0.19,13.11,"202,482",18.1x,36.5x,181.0x,1.2x,5.1x,33.8x,1.8x,0.17,3.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Algonquin Power & Utilities Corp,0.86,0.77,0.02,0.50,0.86,0.0289,0.0568,0.2295,0.0130,0.2200,0.5495,0.4505,1.2195,-2.28,0.56,8.90,0.09,20.76,4.99,0.23,-17.11,"253,350",17.3x,32.8x,-34.8x,1.3x,4.6x,56.7x,2.0x,0.4053,3.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Algonquin Power & Utilities Corp,1.08,1.01,0.32,0.67,1.08,0.0369,0.0832,0.2059,0.0171,0.3000,0.5357,0.4643,1.1538,-3.19,1.02,8.02,0.10,23.03,5.51,0.21,32.26,"333,567",14.9x,26.9x,-231.2x,1.3x,4.6x,36.1x,1.8x,0.5342,4.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Algonquin Power & Utilities Corp,0.90,0.83,0.20,0.53,0.90,0.0367,0.0843,0.1329,0.0112,0.3000,0.6951,0.3049,2.2796,-2.05,1.50,13.33,0.05,16.89,5.78,0.13,-20.04,"430,205",14.5x,26.7x,50.5x,1.3x,5.6x,39.5x,1.9x,0.5688,3.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Algonquin Power & Utilities Corp,0.88,0.72,0.08,0.58,0.88,0.0303,0.0668,0.1813,0.0121,0.3100,0.5996,0.4004,1.4975,-2.16,0.13,8.05,0.06,9.43,6.22,0.18,-23.18,"786,080.677",16.3x,28.2x,-335.1x,1.4x,6.7x,59.3x,2.3x,0.5859,4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Algonquin Power & Utilities Corp,0.99,0.79,0.09,1.06,0.99,0.0458,0.1122,0.1754,0.0084,0.5200,0.5703,0.4297,1.3272,-1.87,0.29,8.45,0.10,10.01,6.71,0.18,-223.49,"865,614.352",13.0x,22.0x,490.9x,1.2x,5.1x,66.0x,1.7x,0.7,4.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Algonquin Power & Utilities Corp,0.59,0.48,0.07,0.70,0.59,0.1120,0.3264,0.1489,0.0444,1.3600,0.5661,0.4339,1.3048,-4.06,0.19,9.71,0.10,10.05,6.28,0.15,-4.53,"827,092.683",18.5x,32.9x,123.3x,1.5x,7.1x,15.1x,2.3x,0.7323,3.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Algonquin Power & Utilities Corp,0.73,0.59,0.11,0.53,0.73,0.1306,0.4666,0.1268,0.0550,1.7600,0.5471,0.4529,1.2079,-5.36,0.15,11.04,0.07,6.82,5.16,0.13,-6.45,"833,763.384",20.0x,37.3x,-282.1x,1.5x,8.0x,22.2x,2.2x,0.7894,4.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Algonquin Power & Utilities Corp,0.69,0.56,0.09,0.12,0.69,0.0344,0.1165,0.1354,0.0111,0.5200,0.5415,0.4585,1.1810,-1.68,0.01,11.99,0.02,7.97,5.64,0.14,-5.34,"959,458.344",21.7x,44.1x,-32.4x,1.3x,7.4x,16.6x,2.0x,0.8629,4.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Algonquin Power & Utilities Corp,0.71,0.57,0.04,0.40,0.71,-0.0296,-0.0767,0.1569,-0.0175,-0.4400,0.5941,0.4059,1.4634,0.33,0.04,11.08,0.06,7.64,5.24,0.16,-6.28,"1,279,535.554",14.5x,28.0x,-42.8x,1.0x,5.0x,-26.5x,1.2x,0.9792,3.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
