Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,AltaGas Ltd,0.85,0.68,0.06,0.50,0.85,0.0711,0.0980,0.2817,0.0286,1.5600,0.6116,0.3884,1.5744,-3.56,0.21,11.82,0.08,10.02,5.55,0.28,-19.34,"376,800",25.5x,47.0x,-23.0x,1.5x,4.1x,32.1x,2.4x,0.8925,4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2014,AltaGas Ltd,1.39,1.18,0.49,0.60,1.39,0.0364,0.0542,0.2860,0.0165,0.7500,0.5743,0.4257,1.3489,-2.49,0.32,9.60,0.09,9.34,7.09,0.29,8.13,"502,000",18.6x,29.2x,-88.8x,1.4x,3.8x,41.7x,2.1x,1.77,4.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2015,AltaGas Ltd,1.10,0.88,0.31,0.53,1.10,0.0122,0.0234,0.2162,0.0059,0.0720,0.5839,0.4161,1.4030,-1.90,0.84,10.01,0.08,5.42,6.81,0.22,24.23,"589,200",13.8x,21.9x,-613.0x,1.1x,3.4x,61.1x,1.4x,1.98,4.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016,AltaGas Ltd,0.74,0.52,0.02,0.46,0.74,0.0441,0.0925,0.2158,0.0209,0.9900,0.5475,0.4525,1.2101,-2.68,0.44,8.43,0.08,4.60,6.54,0.22,-8.55,"662,700",14.1x,22.9x,-94.1x,1.3x,4.6x,89.0x,1.6x,2.1,4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,AltaGas Ltd,0.86,0.61,0.03,0.66,0.86,0.0197,0.0358,0.2548,0.0100,0.1800,0.5376,0.4624,1.1625,-1.41,0.53,7.86,0.10,6.75,6.72,0.25,-22.56,"686,100",14.1x,24.9x,58.4x,1.2x,3.7x,63.3x,1.5x,2.19,4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,AltaGas Ltd,0.98,0.86,0.02,-0.02,0.98,-0.0569,-0.1022,0.1812,-0.0193,-2.2500,0.6747,0.3253,2.0742,1.34,0.13,16.90,0.00,4.76,2.72,0.18,-61.69,"937,700",20.3x,40.6x,-9.2x,0.9x,4.3x,-5.4x,0.7x,0.96,3.6,1,2,,,,,,,,,,,,,,,,,,,,,,,
2019,AltaGas Ltd,0.70,0.54,0.02,0.20,0.70,0.1130,0.1516,0.2776,0.0424,2.7800,0.6277,0.3723,1.6863,-3.41,0.20,12.30,0.05,6.38,4.35,0.28,-5.91,"1,010,000",11.3x,19.3x,12.7x,1.0x,2.2x,5.3x,0.9x,0.96,3.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2020,AltaGas Ltd,0.96,0.71,0.01,0.30,0.96,0.0721,0.0988,0.2595,0.0266,1.7400,0.6442,0.3558,1.8106,-3.64,0.59,11.44,0.06,5.00,3.87,0.26,-50.79,"1,212,000",10.5x,16.6x,-179.2x,0.9x,2.3x,15.7x,0.8x,0.9996,3.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2021,AltaGas Ltd,0.99,0.69,0.02,0.28,0.99,0.0372,0.0268,0.4896,0.0157,0.8200,0.6480,0.3520,1.8408,-2.69,1.46,9.54,0.05,9.86,7.53,0.49,-320.39,"1,467,000",10.9x,15.4x,77.1x,1.1x,1.8x,17.6x,1.2x,0.9996,4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,AltaGas Ltd,1.36,1.05,0.02,0.16,1.36,0.0687,0.0371,0.5878,0.0239,1.4200,0.6821,0.3179,2.1458,-3.29,0.65,11.14,0.03,10.51,6.94,0.59,11.44,"1,468,000",11.3x,16.5x,-28.1x,1.0x,1.2x,34.8x,0.9x,1.06,4.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
