Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Atco Ltd,1.38,1.27,0.62,1.61,1.38,0.0695,0.0959,0.2723,0.0460,3.6400,0.6244,0.3756,1.6626,-4.84,2.28,5.96,0.19,11.95,6.05,0.27,9.50,"1,678,000",8.3x,11.6x,-19.8x,1.1x,3.2x,12.0x,1.9x,0.375,5.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Atco Ltd,1.35,1.25,0.52,1.46,1.35,0.0669,0.0922,0.2574,0.0447,3.6600,0.6450,0.3550,1.8167,-4.57,2.62,6.86,0.15,16.05,5.96,0.26,11.39,"1,664,000",8.8x,12.5x,-16.0x,1.1x,3.3x,13.8x,1.8x,0.86,5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Atco Ltd,1.67,1.58,0.83,1.74,1.67,0.0223,0.0373,0.2168,0.0187,1.3400,0.6383,0.3617,1.7644,-2.92,3.68,8.22,0.14,17.47,6.53,0.22,6.38,"1,479,000",9.2x,14.1x,-27.1x,1.0x,3.4x,16.5x,1.2x,0.99,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Atco Ltd,1.40,1.34,0.61,1.81,1.40,0.0472,0.0841,0.2051,0.0342,2.9700,0.6350,0.3650,1.7398,-3.46,3.32,6.82,0.14,21.27,6.58,0.21,10.24,"1,836,000",9.6x,14.3x,"-1,657.5x",1.1x,4.0x,21.4x,1.5x,1.14,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Atco Ltd,2.19,2.12,0.48,1.28,2.19,0.0308,0.0476,0.2111,0.0226,1.9200,0.6740,0.3260,2.0672,-2.60,2.27,8.18,0.09,17.73,6.48,0.21,3.74,"1,795,000",9.4x,13.8x,57.5x,1.0x,3.8x,17.9x,1.4x,1.31,5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Atco Ltd,1.20,1.16,0.40,0.57,1.20,0.0441,0.0671,0.2094,0.0287,2.8700,0.6812,0.3188,2.1368,-2.94,0.75,8.91,0.06,19.56,6.66,0.21,14.01,"1,784,000",9.7x,14.8x,260.3x,1.0x,3.5x,19.6x,1.2x,1.5064,4.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Atco Ltd,2.24,2.17,1.25,1.69,2.24,0.0653,0.1090,0.2168,0.0464,4.4900,0.6379,0.3621,1.7619,-3.22,1.42,7.24,0.11,25.00,6.54,0.22,4.18,"1,912,000",9.1x,12.9x,38.7x,1.0x,3.7x,10.1x,1.4x,1.6192,5.2,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Atco Ltd,1.90,1.83,1.03,1.72,1.90,0.0321,0.0639,0.1777,0.0224,2.2000,0.6464,0.3536,1.8284,-2.63,2.86,8.85,0.13,17.80,5.47,0.18,4.09,"1,621,000",9.3x,14.3x,22.9x,0.9x,3.9x,15.6x,1.0x,1.7408,5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Atco Ltd,1.40,1.36,0.69,1.18,1.40,0.0309,0.0574,0.1864,0.0204,2.1500,0.6545,0.3455,1.8939,-2.46,2.65,9.30,0.12,25.79,5.21,0.19,6.75,"1,618,000",11.2x,19.8x,109.9x,1.0x,4.2x,22.9x,1.2x,1.7932,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Atco Ltd,1.55,1.49,0.68,1.57,1.55,0.0443,0.0743,0.2062,0.0293,3.2500,0.6543,0.3457,1.8930,-3.36,2.63,8.46,0.15,23.29,5.36,0.21,5.96,"1,866,000",8.9x,13.0x,37.3x,1.0x,3.5x,12.4x,1.1x,1.8468,5,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
