Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Boralex Inc,1.22,1.19,0.79,0.39,1.22,-0.0099,-0.0223,0.1209,-0.0026,-0.1500,0.7286,0.2714,2.6845,-0.90,0.40,10.34,0.06,12.07,6.41,0.12,4.97,"100,232",11.2x,25.6x,-7.6x,0.9x,6.3x,-70.2x,1.2x,,4.5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Boralex Inc,0.60,0.58,0.28,0.21,0.60,-0.0350,-0.0603,0.1001,-0.0057,-0.3800,0.8275,0.1725,4.7974,-0.75,0.15,14.86,0.03,11.44,5.95,0.10,-1.81,"108,590",15.5x,33.1x,15.9x,1.0x,9.0x,-73.8x,1.5x,0.26,3.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Boralex Inc,0.72,0.69,0.36,0.41,0.72,-0.0197,-0.0410,0.1094,-0.0033,-0.2100,0.7717,0.2283,3.3810,-0.88,0.26,11.81,0.06,11.29,6.54,0.11,-3.39,"160,000",16.7x,45.6x,-18.1x,1.1x,9.6x,-40.1x,1.7x,0.52,3.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Boralex Inc,0.86,0.84,0.22,0.33,0.86,-0.0039,-0.0066,0.1118,0.0007,-0.0310,0.8098,0.1902,4.2568,-0.90,0.67,12.02,0.07,10.88,7.37,0.11,-4.79,"182,000",15.1x,36.6x,-26.6x,1.3x,9.4x,132.9x,2.6x,0.56,3.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Boralex Inc,0.76,0.74,0.27,0.34,0.76,0.0302,0.0525,0.1067,0.0025,0.2900,0.8143,0.1857,4.3855,-1.00,0.58,11.84,0.05,12.00,4.55,0.11,-4.03,"270,000",19.9x,66.0x,-80.4x,1.3x,12.2x,-178.9x,2.7x,0.6,3.4,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Boralex Inc,0.75,0.73,0.28,0.36,0.75,-0.0331,-0.0626,0.1005,-0.0080,-0.3700,0.8096,0.1904,4.2525,-0.57,0.30,13.30,0.05,13.30,5.38,0.10,-3.37,"290,000",15.3x,49.9x,-122.2x,1.1x,9.4x,-115.5x,1.7x,0.66,3.3,3,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Boralex Inc,1.19,1.16,0.50,0.97,1.19,-0.0446,-0.0679,0.1260,-0.0094,-0.4300,0.8080,0.1920,4.2080,-0.62,0.18,9.90,0.08,11.55,3.75,0.13,9.73,"372,000",15.7x,55.2x,34.4x,1.3x,10.1x,-589.0x,3.2x,0.66,3.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Boralex Inc,1.17,1.14,0.68,0.90,1.17,0.0555,0.0869,0.1191,0.0115,0.5600,0.8135,0.1865,4.3623,-1.54,0.56,10.94,0.08,12.58,4.03,0.12,9.17,"395,000",18.8x,39.9x,27.6x,1.9x,12.3x,"1,614.9x",5.0x,0.66,3.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Boralex Inc,1.16,1.13,0.65,0.87,1.16,0.0140,0.0246,0.1202,0.0045,0.1700,0.7894,0.2106,3.7490,-1.32,0.88,9.85,0.08,11.77,4.67,0.12,10.63,"461,000",16.7x,42.4x,31.5x,1.4x,10.7x,136.9x,3.6x,0.66,3.7,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Boralex Inc,0.78,0.76,0.44,0.62,0.78,0.0148,0.0359,0.1278,0.0012,0.2900,0.6902,0.3098,2.2275,-1.14,0.74,9.66,0.11,17.20,3.57,0.13,-4.57,"467,000",14.6x,34.7x,22.7x,1.4x,8.2x,135.3x,2.4x,0.66,3.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
