Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Brookfield Infrastructure Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Brookfield Infrastructure Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Brookfield Infrastructure Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Brookfield Infrastructure Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1297,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,-2.12,0.86,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"334,362.18",NA,NA,NM,NM,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Brookfield Infrastructure Corp,1.21,1.21,0.22,2.91,1.21,0.0388,0.1565,0.1327,0.0579,,0.4644,0.5356,0.8672,-11.61,11.33,4.20,0.22,#DIV/0!,3.89,0.13,17.64,"1,386,680.57",NA,NA,NM,NM,NA,NA,NA,,NA,5,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Brookfield Infrastructure Corp,1.25,1.25,0.28,3.01,1.25,0.0622,0.1294,0.1689,0.0629,,0.6484,0.3516,1.8440,-7.42,1.89,4.60,0.18,#DIV/0!,4.76,0.17,17.94,"1,775,838.98",NA,NA,NM,NM,NA,NA,0.0x,,5.8,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Brookfield Infrastructure Corp,1.20,1.20,0.41,2.20,1.20,0.0601,0.1217,0.1643,0.0579,,0.6674,0.3326,2.0067,-6.40,5.13,4.89,0.16,#DIV/0!,4.55,0.16,16.03,"1,746,469.05",NA,NA,NM,NM,NA,NA,NA,,5.6,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Brookfield Infrastructure Corp,0.21,0.21,0.07,0.26,0.21,0.9650,-0.3860,0.1530,-0.0248,-10.2000,1.0612,-0.0612,-17.3357,-1.17,1.19,8.60,0.07,#DIV/0!,4.14,0.15,-0.66,"1,467,100.26",7.1x,9.4x,3.0x,2.4x,5.8x,-8.3x,-1.8x,1.6456,0.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Brookfield Infrastructure Corp,0.32,0.32,0.08,0.14,0.32,0.2584,-0.2240,0.1629,0.0027,-4.1700,1.1412,-0.1412,-8.0829,-2.47,0.86,8.83,0.07,#DIV/0!,4.09,0.16,-0.39,"1,648,947.12",7.2x,9.2x,4.0x,3.5x,5.7x,-25.2x,-2.6x,1.7198,0.2,8,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Brookfield Infrastructure Corp,0.34,0.34,0.10,0.19,0.34,-3.0305,0.5801,0.1853,0.1591,13.1500,1.0355,-0.0355,-29.1939,-4.56,0.52,7.09,0.08,#DIV/0!,4.28,0.19,-0.62,"2,011,969.7",6.2x,7.2x,-14.4x,2.3x,4.9x,4.4x,-4.3x,1.9497,0.8,7,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
