Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Brookfield Renewable Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014,Brookfield Renewable Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2015,Brookfield Renewable Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2016,Brookfield Renewable Corp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.0155,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,-1.48,0.37,0.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"656,638.98",NA,NA,NM,NM,NA,NA,NA,,NA,4,0,,,,,,,,,,,,,,,,,,,,,,,
2017,Brookfield Renewable Corp,1.30,1.30,0.22,1.53,1.30,-0.0012,-0.0029,0.2384,0.0073,,0.4228,0.5772,0.7324,-1.40,0.37,3.13,0.14,#DIV/0!,7.39,0.24,20.62,"1,470,912.3",NA,NA,NM,NM,NA,NA,NA,,NA,5,0,,,,,,,,,,,,,,,,,,,,,,,
2018,Brookfield Renewable Corp,1.10,1.10,0.12,1.47,1.10,0.0050,0.0238,0.1292,0.0247,,0.3882,0.6118,0.6346,-1.40,0.43,4.78,0.13,#DIV/0!,5.36,0.13,38.23,"2,588,002.08",NA,NA,NM,NM,NA,NA,0.0x,,5.2,4,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Brookfield Renewable Corp,0.96,0.93,0.21,0.95,0.96,0.0092,0.0499,0.0924,0.0059,,0.5001,0.4999,1.0005,-1.40,0.39,8.34,0.08,28.46,5.20,0.09,-54.18,"2,782,664.07",NA,NA,NM,NM,NA,NA,NA,,4.5,4,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Brookfield Renewable Corp,0.16,0.16,0.04,0.10,0.16,-0.2335,-0.8594,0.0807,-0.0714,-9.6300,0.7030,0.2970,2.3666,2.54,0.27,14.06,0.04,48.23,3.61,0.08,-0.39,"2,510,484.66",21.1x,46.3x,5.3x,1.9x,13.2x,-17.8x,16.3x,1.4726,0.4,3,0,,,,,,,,,,,,,,,,,,,,,,,
2021,Brookfield Renewable Corp,0.26,0.26,0.06,0.04,0.26,0.0665,0.2760,0.0816,0.0222,3.3100,0.6612,0.3388,1.9516,-2.13,0.11,13.43,0.01,59.25,3.26,0.08,-0.52,"2,613,783.51",17.4x,38.0x,54.9x,1.5x,10.5x,-19.0x,8.6x,1.5364,0.3,7,0,,,,,,,,,,,,,,,,,,,,,,,
2022,Brookfield Renewable Corp,0.47,0.47,0.09,0.18,0.47,0.0893,0.3883,0.0894,0.0427,5.6200,0.6113,0.3887,1.5730,-2.91,0.36,10.47,0.05,65.22,3.45,0.09,-1.01,"3,422,785.6",14.2x,26.7x,-36.4x,1.2x,9.3x,8.0x,2.1x,1.7331,0.4,8,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
