Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Canadian Utilities Limited,1.08,0.99,0.49,1.76,1.08,0.1088,0.1736,0.2246,0.0390,2.1000,0.6416,0.3584,1.7903,-3.65,2.44,6.40,0.19,11.31,6.97,0.22,41.74,"1,509,000",10.9x,15.3x,-22.5x,1.4x,4.7x,16.1x,2.4x,0.485,5.1,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Canadian Utilities Limited,1.02,0.94,0.36,1.57,1.02,0.1268,0.1975,0.2155,0.0426,2.5200,0.6643,0.3357,1.9788,-3.96,3.12,7.34,0.14,14.59,7.13,0.22,150.00,"1,511,000",11.9x,16.8x,-20.1x,1.4x,5.1x,17.2x,2.5x,1.07,4.9,4,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Canadian Utilities Limited,1.32,1.27,0.65,2.02,1.32,0.0568,0.1078,0.1806,0.0199,1.1200,0.6573,0.3427,1.9176,-2.96,5.25,8.36,0.14,23.34,7.38,0.18,12.65,"1,421,000",11.7x,17.6x,-31.3x,1.3x,5.1x,20.9x,1.9x,1.18,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Canadian Utilities Limited,1.10,1.06,0.39,1.82,1.10,0.0966,0.1824,0.1810,0.0335,2.0700,0.6582,0.3418,1.9254,-3.26,4.03,7.16,0.13,24.84,6.41,0.18,36.55,"1,726,000",11.9x,17.7x,-319.0x,1.3x,5.8x,24.1x,2.2x,1.3,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Canadian Utilities Limited,2.14,2.10,0.45,1.38,2.14,0.0811,0.1258,0.1960,0.0250,1.6600,0.6958,0.3042,2.2869,-2.65,2.23,8.96,0.09,38.38,6.55,0.20,3.76,"1,619,000",11.4x,16.6x,48.5x,1.3x,5.1x,18.7x,2.1x,1.43,5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Canadian Utilities Limited,1.13,1.11,0.36,0.53,1.13,0.0966,0.1448,0.2006,0.0294,2.0900,0.6993,0.3007,2.3251,-2.85,0.73,8.87,0.06,54.26,6.47,0.20,20.74,"1,721,000",12.1x,19.1x,"-2,562.3x",1.2x,4.4x,20.6x,1.8x,1.5732,4.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Canadian Utilities Limited,2.32,2.28,1.32,1.84,2.32,0.1374,0.2435,0.1948,0.0478,3.2400,0.6547,0.3453,1.8961,-3.19,1.37,7.26,0.10,41.33,6.32,0.19,4.01,"1,807,000",11.1x,15.7x,41.9x,1.3x,5.1x,10.8x,2.1x,1.6908,5.3,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Canadian Utilities Limited,1.82,1.79,0.91,1.91,1.82,0.0627,0.1321,0.1593,0.0214,1.3200,0.6646,0.3354,1.9812,-2.52,2.91,8.74,0.12,34.32,4.99,0.16,4.60,"1,544,000",11.4x,17.5x,27.5x,1.1x,5.6x,20.8x,1.6x,1.7416,5,5,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Canadian Utilities Limited,1.22,1.21,0.53,1.21,1.22,0.0576,0.1118,0.1668,0.0190,1.2200,0.6763,0.3237,2.0893,-2.34,2.97,9.30,0.12,54.48,4.71,0.17,11.23,"1,533,000",14.1x,24.0x,89.1x,1.3x,6.0x,38.7x,2.0x,1.7592,4.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Canadian Utilities Limited,1.42,1.40,0.53,1.62,1.42,0.0894,0.1561,0.1842,0.0291,2.0700,0.6784,0.3216,2.1098,-3.26,2.95,8.40,0.14,54.75,4.75,0.18,7.36,"1,775,000",11.4x,16.6x,24.8x,1.2x,5.1x,16.8x,1.9x,1.7768,4.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
