Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Capital Power Corporation,0.73,0.57,0.16,0.82,0.73,0.0583,0.1256,0.2669,0.0437,2.1300,0.4244,0.5756,0.7374,-4.50,2.14,4.36,0.23,7.05,7.00,0.27,-8.39,"508,000",9.7x,19.1x,-4.1x,0.9x,3.4x,17.8x,1.0x,0.63,4.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Capital Power Corporation,0.56,0.44,0.08,0.45,0.56,0.0153,0.0375,0.2266,0.0092,0.2800,0.4459,0.5541,0.8049,-4.19,3.31,5.74,0.16,5.71,7.02,0.23,-3.21,"421,000",10.2x,19.0x,6.3x,0.9x,3.6x,35.6x,1.1x,1.36,4.4,3,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Capital Power Corporation,0.81,0.64,0.14,0.73,0.81,0.0320,0.0725,0.2301,0.0159,0.7000,0.4778,0.5222,0.9151,-2.63,1.16,5.61,0.16,5.81,6.97,0.23,-11.39,"459,000",8.1x,13.9x,38.7x,0.9x,2.9x,24.8x,0.8x,1.46,4.5,7,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Capital Power Corporation,1.01,0.80,0.18,0.68,1.01,0.0383,0.0926,0.1978,0.0168,0.9100,0.5214,0.4786,1.0896,-2.97,1.15,6.59,0.12,4.42,7.45,0.20,199.83,"480,000",8.1x,15.0x,13.5x,0.9x,3.0x,23.0x,0.8x,1.56,4.5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Capital Power Corporation,0.85,0.66,0.08,0.58,0.85,0.0470,0.1377,0.1516,0.0194,1.0700,0.5561,0.4439,1.2528,-1.90,0.61,7.67,0.10,3.60,5.20,0.15,-11.13,"500,000",9.3x,18.9x,64.8x,0.9x,4.2x,17.3x,0.8x,1.67,4.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Capital Power Corporation,0.99,0.77,0.20,0.50,0.99,0.0868,0.2083,0.1681,0.0341,2.1700,0.5966,0.4034,1.4792,-3.92,1.43,7.28,0.10,2.79,4.69,0.17,-141.33,"620,000",7.2x,14.2x,20.9x,0.9x,3.9x,36.1x,0.9x,1.79,4.1,7,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Capital Power Corporation,0.59,0.45,0.18,0.51,0.59,0.0403,0.0730,0.1996,0.0139,0.7300,0.6387,0.3613,1.7675,-1.77,0.91,4.90,0.13,2.75,7.29,0.20,-3.00,"1,118,000",9.2x,18.8x,-62.4x,1.2x,5.3x,109.6x,1.8x,1.92,3.8,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Capital Power Corporation,1.01,0.81,0.32,0.53,1.01,0.0464,0.0759,0.2010,0.0146,0.7800,0.6713,0.3287,2.0423,-2.19,0.97,6.79,0.10,3.38,4.71,0.20,255.86,"881,000",7.4x,13.0x,10.5x,1.2x,4.4x,14.1x,1.8x,2.05,3.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Capital Power Corporation,0.98,0.80,0.32,0.72,0.98,0.0343,0.0558,0.1937,0.0096,0.3900,0.6849,0.3151,2.1735,-1.86,1.67,7.35,0.14,3.77,4.75,0.19,-92.47,"846,000",9.5x,22.9x,11.3x,1.3x,5.1x,40.9x,2.1x,2.19,3.7,4,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Capital Power Corporation,0.76,0.65,0.14,0.42,0.76,0.0561,0.0509,0.2676,0.0126,0.8500,0.7573,0.2427,3.1199,-1.88,3.93,9.04,0.12,7.16,3.22,0.27,-5.16,"849,000",10.4x,29.2x,17.5x,1.5x,3.3x,52.2x,2.8x,2.32,3.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
