Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Caribbean Utilities Co Ltd,0.95,0.85,0.02,0.91,0.95,0.1145,0.0903,0.5192,0.0469,0.6700,0.5908,0.4092,1.4440,-2.67,0.80,5.20,0.19,32.00,13.76,0.52,-74.91,"49,491",NA,NA,NM,NM,NA,NA,0.0x,,5,8,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Caribbean Utilities Co Ltd,1.44,1.36,0.47,1.02,1.44,0.1157,0.0898,0.4995,0.0449,0.6800,0.6123,0.3877,1.5792,-2.75,1.07,5.75,0.16,48.30,17.83,0.50,11.58,"49,358",NA,NA,NM,NM,NA,NA,0.0x,,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Caribbean Utilities Co Ltd,0.73,0.67,0.03,1.35,0.73,0.1065,0.1209,0.3912,0.0473,0.7100,0.5557,0.4443,1.2510,-2.81,2.22,5.24,0.22,55.80,17.93,0.39,-15.70,"51,228",NA,NA,NM,NM,NA,NA,0.0x,,4.9,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Caribbean Utilities Co Ltd,0.52,0.48,0.13,0.81,0.52,0.1145,0.1559,0.3171,0.0494,0.7500,0.5683,0.4317,1.3163,-3.07,2.36,5.16,0.21,29.95,17.64,0.32,-4.40,"56,157",NA,NA,NM,NM,NA,NA,0.0x,,4.6,5,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Caribbean Utilities Co Ltd,0.79,0.74,0.15,1.02,0.79,0.1059,0.1391,0.3220,0.0448,0.7000,0.5773,0.4227,1.3656,-2.82,2.11,5.29,0.17,38.61,21.16,0.32,-16.79,"57,963",NA,NA,NM,NM,NA,NA,0.0x,,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Caribbean Utilities Co Ltd,0.55,0.51,0.10,0.73,0.55,0.1162,0.1376,0.3458,0.0476,0.7800,0.5906,0.4094,1.4427,-3.03,2.15,5.39,0.19,35.19,16.89,0.35,-4.89,"61,646",11.6x,25.9x,-185.8x,1.3x,3.6x,17.4x,1.8x,0.7,4.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Caribbean Utilities Co Ltd,1.12,1.03,0.45,1.19,1.12,0.1223,0.1432,0.3385,0.0485,0.8400,0.6037,0.3963,1.5234,-3.08,2.33,5.57,0.17,27.82,22.82,0.34,32.19,"65,023",12.6x,27.1x,144.5x,1.5x,4.1x,18.4x,2.3x,0.7,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Caribbean Utilities Co Ltd,1.59,1.52,0.97,1.41,1.59,0.0900,0.1469,0.2800,0.0411,0.7400,0.5431,0.4569,1.1888,-2.80,2.27,5.12,0.19,28.87,49.11,0.28,6.34,"67,233",13.1x,30.7x,188.3x,1.5x,4.6x,22.8x,2.3x,0.7,5.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Caribbean Utilities Co Ltd,0.96,0.86,0.13,1.11,0.96,0.1018,0.1528,0.3130,0.0478,0.7900,0.5303,0.4697,1.1289,-3.31,2.27,4.85,0.18,22.11,19.07,0.31,-79.90,"69,360",12.1x,28.0x,229.4x,1.4x,4.5x,19.7x,1.9x,0.7,5.1,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Caribbean Utilities Co Ltd,1.08,0.98,0.10,0.73,1.08,0.1076,0.1241,0.3680,0.0457,0.8600,0.5758,0.4242,1.3571,-3.45,1.93,5.89,0.13,22.79,12.78,0.37,41.57,"71,059",12.1x,26.8x,-22.5x,1.3x,3.2x,15.8x,1.6x,0.7,4.9,5,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
