Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Emera Incorporated,0.76,0.60,0.07,0.37,0.76,0.0000,0.0000,0.2512,0.0000,1.6400,0.6736,0.3264,2.0639,0.00,7.98,14.61,0.09,5.99,4.05,0.25,-6.05,"409,300",12.1x,20.6x,58.7x,1.3x,3.7x,18.1x,2.4x,0,4.1,5,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Emera Incorporated,1.26,0.99,0.20,0.68,1.26,0.0000,0.0000,0.2982,0.0000,2.8200,0.6239,0.3761,1.6592,0.00,2.96,9.17,0.12,6.39,5.98,0.30,10.21,"670,600",10.9x,18.0x,21.3x,1.4x,3.3x,20.0x,2.2x,1.475,4.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Emera Incorporated,1.90,1.67,0.78,0.49,1.90,0.0000,0.0000,0.2317,0.0000,2.7100,0.6400,0.3600,1.7778,0.00,2.65,13.57,0.09,5.79,5.13,0.23,2.27,"568,000",10.1x,15.6x,25.1x,1.3x,3.5x,17.6x,2.1x,1.425,5.2,5,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Emera Incorporated,0.67,0.55,0.11,0.28,0.67,0.0000,0.0000,0.1464,0.0000,1.3200,0.7667,0.2333,3.2871,0.00,3.06,40.37,0.05,6.23,4.36,0.15,-3.53,"555,000",24.6x,47.0x,30.9x,1.2x,7.0x,27.3x,1.8x,2.09,3.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Emera Incorporated,0.64,0.53,0.11,0.30,0.64,0.0000,0.0000,0.2161,0.0000,1.2400,0.7499,0.2501,2.9986,0.00,3.26,15.23,0.06,8.67,5.77,0.22,-4.38,"1,418,000",11.4x,18.5x,126.8x,1.2x,4.0x,19.0x,1.8x,2.26,3.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Emera Incorporated,0.62,0.52,0.07,0.37,0.62,0.0000,0.0000,0.2019,0.0000,3.0400,0.7414,0.2586,2.8662,0.00,28.64,17.47,0.07,8.16,5.73,0.20,-3.79,"1,371,000",11.9x,20.8x,215.5x,1.1x,4.1x,40.6x,1.5x,2.35,3.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Emera Incorporated,0.60,0.48,0.05,0.37,0.60,0.0000,0.0000,0.1919,0.0000,2.7600,0.7299,0.2701,2.7021,0.00,3.39,16.85,0.07,7.47,7.11,0.19,-3.64,"1,379,000",12.3x,20.5x,-138.5x,1.2x,4.5x,19.2x,1.8x,2.45,3.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Emera Incorporated,0.45,0.35,0.05,0.34,0.45,0.0000,0.0000,0.1763,0.0000,3.7800,0.7042,0.2958,2.3810,0.00,2.69,18.62,0.07,6.90,6.60,0.18,-2.04,"1,181,000",13.6x,23.9x,-27.9x,1.2x,5.1x,15.8x,1.6x,2.55,3.5,6,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Emera Incorporated,0.64,0.53,0.08,0.24,0.64,0.0000,0.0000,0.1684,0.0000,1.9800,0.7036,0.2964,2.3738,0.00,1.07,25.69,0.05,6.68,5.42,0.17,-3.31,"938,000",18.6x,39.4x,-93.3x,1.3x,5.9x,35.9x,2.0x,2.65,3.7,5,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Emera Incorporated,0.67,0.57,0.04,0.13,0.67,0.0000,0.0000,0.1909,0.0000,3.5500,0.7121,0.2879,2.4736,0.00,1.10,16.42,0.03,5.93,5.05,0.19,-3.17,"1,724,000",12.8x,20.0x,-52.4x,1.2x,4.5x,16.6x,1.6x,2.76,3.7,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
