Year,Company name,Current ratio,Quick Ratio,Cash ratio,Operating cash flow ratio,Working capital ratio,Return On Equity (ROE),Net profit margin,Sales turnover ratio,Return On Assets (ROA),EPS,Debt-to-assets ratio,Equity Ratio,Debt to equity ratio,Interest coverage ratio,The Long-Term Debt Coverage Ratio,Total debt to EBITDA ratio,Cash flow to debt ratio,Inventory turnover ratio,Receivables turnover ratio,Asset Turnover Ratio,Working capital turnover ratio,EBITDA,EV/EBITDA,EV / EBIT,EV / Free Cash Flow,EV / Invested Capital,EV / Revenue,P/E Ratio,Price/Book,Dividend Per Share,Altman Z-Score,Piotroski Score,Classification,,,,,,,,,,,,,,,,,,,,,,,
2013,Polaris Infrastructure Inc,3.79,2.15,0.66,2.29,3.79,-0.2527,-0.4191,0.3577,-0.1499,-4.2200,0.4067,0.5933,0.6855,14.42,2.62,3.07,0.26,2.50,24.34,0.36,2.79,644.544,8.8x,17.2x,-22.3x,1.2x,3.2x,25.9x,1.3x,0.4674,4.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
2014,Polaris Infrastructure Inc,2.73,1.39,0.53,2.01,2.73,0.0204,0.0437,0.2786,0.0122,0.4900,0.4025,0.5975,0.6737,-3.97,0.82,3.78,0.24,2.24,31.76,0.28,3.29,840.003,9.1x,-41.2x,24.7x,1.2x,3.5x,-7.9x,1.3x,0.3706,5.3,5,2,,,,,,,,,,,,,,,,,,,,,,,
2015,Polaris Infrastructure Inc,2.66,1.18,0.40,1.98,2.66,0.0059,0.0124,0.2971,0.0037,0.1600,0.3804,0.6196,0.6139,-2.23,0.78,3.32,0.24,2.14,257.38,0.30,3.83,"1,062.305",9.1x,45.7x,31.9x,1.2x,3.3x,303.4x,1.4x,0.444,5.3,6,2,,,,,,,,,,,,,,,,,,,,,,,
2016,Polaris Infrastructure Inc,2.90,1.86,1.27,1.84,2.90,0.0354,0.0743,0.3008,0.0223,0.9500,0.3680,0.6320,0.5822,-5.10,1.61,2.76,0.30,2.31,261.24,0.30,2.65,"1,274.002",11.2x,36.8x,21.1x,1.7x,4.7x,117.0x,2.1x,0.5371,5.9,8,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Polaris Infrastructure Inc,4.38,2.88,1.90,2.30,4.38,0.0487,0.1074,0.2851,0.0306,1.3100,0.3711,0.6289,0.5900,-6.90,1.62,3.10,0.26,2.11,186.89,0.29,1.99,"1,184.516",11.2x,24.2x,180.5x,1.8x,5.1x,40.3x,2.2x,0.5532,6.2,6,2,,,,,,,,,,,,,,,,,,,,,,,
2018,Polaris Infrastructure Inc,2.97,1.60,0.84,1.68,2.97,-0.0718,-0.1491,0.2790,-0.0416,-1.9100,0.4206,0.5794,0.7259,2.53,1.61,4.36,0.18,2.32,217.92,0.28,3.08,"1,032.923",13.3x,42.4x,-20.6x,1.6x,4.8x,90.4x,1.9x,0.6006,5,2,2,,,,,,,,,,,,,,,,,,,,,,,
2019,Polaris Infrastructure Inc,1.42,0.67,0.42,1.14,1.42,0.0926,0.1897,0.2838,0.0538,2.5900,0.4185,0.5815,0.7196,-9.51,8.62,3.57,0.24,2.13,299.88,0.28,7.64,"1,337.759",18.3x,62.9x,-49.4x,2.5x,7.1x,-58.4x,3.1x,0.9089,5.4,7,2,,,,,,,,,,,,,,,,,,,,,,,
2020,Polaris Infrastructure Inc,2.42,1.20,0.78,2.31,2.42,0.0900,0.1630,0.3264,0.0532,2.7000,0.4089,0.5911,0.6918,-10.40,2.61,2.50,0.30,2.22,264.44,0.33,4.29,"1,997.646",13.3x,16.2x,81.4x,2.6x,6.2x,26.8x,3.1x,1.7814,5.9,7,2,,,,,,,,,,,,,,,,,,,,,,,
2021,Polaris Infrastructure Inc,1.71,0.56,0.24,1.77,1.71,0.0937,0.1452,0.3788,0.0550,2.9200,0.4127,0.5873,0.7027,-13.27,13.32,2.35,0.32,1.98,285.69,0.38,7.16,"2,267.698",7.5x,12.2x,36.1x,1.9x,3.7x,19.5x,2.2x,1.7703,5.8,6,2,,,,,,,,,,,,,,,,,,,,,,,
2022,Polaris Infrastructure Inc,2.30,1.03,0.70,2.22,2.30,0.0413,0.1167,0.2444,0.0285,2.0700,0.3087,0.6913,0.4466,-21.43,6.69,2.91,0.29,2.13,669.18,0.24,4.65,"3,374.005",11.5x,20.2x,87.5x,1.6x,5.0x,42.2x,1.7x,2.1663,6.4,6,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
